Construct_Name,Description,Source,Metadata_Value
"License, Certificate, or Registration Required","At least one license, certificate, or registration is required to perform in this job, including a driver's or vehicle operator's license. The specific license(s), certificate(s), or registration(s) are listed.",O*NET,1000
Specific License or Certificate Required,"Specific education, training, examination, or other requirements for obtaining the licenses, certificates, or registration needed to perform in this job",O*NET,1000
Post-Secondary Degree,"Obtaining the licenses, certificates, or registration needed to perform in this job requires a post-secondary degree, for example an Associate's or Bachelor's degree.",O*NET,1000
Graduate Degree,"Obtaining the licenses, certificates, or registration needed to perform in this job requires a graduate degree, for example, a Master's or Doctoral degree.",O*NET,1000
Examination,"Obtaining the licenses, certificates, or registration needed to perform in this job requires an examination, for example, written, oral, or performance assessments.",O*NET,1000
Character References,"Obtaining the licenses, certificates, or registration needed to perform in this job requires one or more character references from other individuals.",O*NET,1000
Additional Education and Training,"Retaining the licenses, certificates, or registration needed to perform in this job requires additional course work.",O*NET,1000
Organization and Agency Requirements,"Organizations or agencies requiring the specific licenses, certificates, or registration needed to perform in a job",O*NET,1000
Legal Requirement,"Federal, state, or local law requires possessing specific licenses, certificates, or registration for performance in this job.",O*NET,1000
Employer Requirement,"Employers require possessing specific licenses, certificates, or registration for performance in this job.",O*NET,1000
"Union, Guild, or Professional Association","A union or professional association requires possessing specific licenses, certificates, or registration for performance in this job.",O*NET,1000
Occupational Requirements,Occupational Requirements,O*NET,1000
Generalized Work Activities,Work activities that are common across a very large number of occupations. They are performed in almost all job families and industries.,O*NET,1000
Information Input,Where and how are the information and data gained that are needed to perform this job?,O*NET,1000
Looking for and Receiving Job-Related Information,How is information obtained to perform this job?,O*NET,1000
Getting Information,"Observing, receiving, and otherwise obtaining information from all relevant sources.",O*NET,1000
"Monitoring Processes, Materials, or Surroundings","Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.",O*NET,1000
Identifying and Evaluating Job-Relevant Information,How is information interpreted to perform this job?,O*NET,1000
"Identifying Objects, Actions, and Events","Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.",O*NET,1000
"Inspecting Equipment, Structures, or Materials","Inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects.",O*NET,1000
"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity.",O*NET,1000
Mental Processes,"What processing, planning, problem-solving, decision-making, and innovating activities are performed with job-relevant information?",O*NET,1000
Information and Data Processing,How is information processed to perform this job?,O*NET,1000
"Judging the Qualities of Objects, Services, or People","Assessing the value, importance, or quality of things or people.",O*NET,1000
Processing Information,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.",O*NET,1000
Evaluating Information to Determine Compliance with Standards,"Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards.",O*NET,1000
Analyzing Data or Information,"Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts.",O*NET,1000
Reasoning and Decision Making,What decisions are made and problems solved in performing this job?,O*NET,1000
Making Decisions and Solving Problems,Analyzing information and evaluating results to choose the best solution and solve problems.,O*NET,1000
Thinking Creatively,"Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions.",O*NET,1000
Updating and Using Relevant Knowledge,Keeping up-to-date technically and applying new knowledge to your job.,O*NET,1000
Developing Objectives and Strategies,Establishing long-range objectives and specifying the strategies and actions to achieve them.,O*NET,1000
Scheduling Work and Activities,"Scheduling events, programs, and activities, as well as the work of others.",O*NET,1000
"Organizing, Planning, and Prioritizing Work","Developing specific goals and plans to prioritize, organize, and accomplish your work.",O*NET,1000
Work Output,"What physical activities are performed, what equipment and vehicles are operated/controlled, and what complex/technical activities are accomplished as job outputs?",O*NET,1000
Performing Physical and Manual Work Activities,What activities using the body and hands are done to perform this job?,O*NET,1000
Performing General Physical Activities,"Performing general physical activities includes doing activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling materials.",O*NET,1000
Handling and Moving Objects,"Using hands and arms in handling, installing, positioning, and moving materials, and manipulating things.",O*NET,1000
Controlling Machines and Processes,Using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles).,O*NET,1000
"Operating Vehicles, Mechanized Devices, or Equipment","Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or watercraft.",O*NET,1000
Performing Complex and Technical Activities,What skilled activities using coordinated movements are done to perform this job?,O*NET,1000
Working with Computers,"Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.",O*NET,1000
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment","Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used.",O*NET,1000
Repairing and Maintaining Mechanical Equipment,"Servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles.",O*NET,1000
Repairing and Maintaining Electronic Equipment,"Servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles.",O*NET,1000
Documenting/Recording Information,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.",O*NET,1000
Interacting With Others,What interactions with other persons or supervisory activities occur while performing this job?,O*NET,1000
Communicating and Interacting,What interactions with other people occur while performing this job?,O*NET,1000
Interpreting the Meaning of Information for Others,Translating or explaining what information means and how it can be used.,O*NET,1000
"Communicating with Supervisors, Peers, or Subordinates","Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.",O*NET,1000
Communicating with People Outside the Organization,"Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.",O*NET,1000
Establishing and Maintaining Interpersonal Relationships,"Developing constructive and cooperative working relationships with others, and maintaining them over time.",O*NET,1000
Assisting and Caring for Others,"Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.",O*NET,1000
Selling or Influencing Others,Convincing others to buy merchandise/goods or to otherwise change their minds or actions.,O*NET,1000
Resolving Conflicts and Negotiating with Others,"Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others.",O*NET,1000
Performing for or Working Directly with the Public,"Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.",O*NET,1000
"Coordinating, Developing, Managing, and Advising","What coordinating, managerial, or advisory activities are done while performing this job?",O*NET,1000
Coordinating the Work and Activities of Others,Getting members of a group to work together to accomplish tasks.,O*NET,1000
Developing and Building Teams,"Encouraging and building mutual trust, respect, and cooperation among team members.",O*NET,1000
Training and Teaching Others,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.",O*NET,1000
"Guiding, Directing, and Motivating Subordinates","Providing guidance and direction to subordinates, including setting performance standards and monitoring performance.",O*NET,1000
Coaching and Developing Others,"Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.",O*NET,1000
Providing Consultation and Advice to Others,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.",O*NET,1000
Administering,"What administrative, staffing, monitoring, or controlling activities are done while performing this job?",O*NET,1000
Performing Administrative Activities,Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.,O*NET,1000
Staffing Organizational Units,"Recruiting, interviewing, selecting, hiring, and promoting employees in an organization.",O*NET,1000
Monitoring and Controlling Resources,Monitoring and controlling resources and overseeing the spending of money.,O*NET,1000
Organizational Context,Characteristics of the organization that influence how people do their work,O*NET,1000
Structural Characteristics,"A functional subsystem of organization structure subsuming constructs of (a) organizational structure, and (b) human resources systems and practices",O*NET,1000
Organizational Structure,"The architecture or anatomy of an organization, affecting the behavior of organizational members as well as the ability of organizations to adapt effectively to their environments. Elements of organizational structure include the hierarchy of the organization, the degree of centralization, and the nature of work groups used to accomplish organizational objectives",O*NET,1000
Decision Making System,The amount of autonomy and involvement in decision making that employees have,O*NET,1000
Decentralization and Employee Empowerment,Indicates the degree to which employees are provided with different types of information and participate in decision-making,O*NET,1000
Have Control Over Unit or Department,You have a great deal of control over what happens in your unit or department,O*NET,1000
Have Influence Over Decisions,You have a great deal of influence over decisions that are made in your unit or department.,O*NET,1000
Monitor Data on Quality/Costs/Waste/etc.,"You monitor data on quality, costs, waste, and productivity",O*NET,1000
Determine Work Flow or Order of Tasks,You determine work flow or the order in which tasks are performed,O*NET,1000
Invest in New Equipment and Technology,You invest in new equipment and technology,O*NET,1000
"Develop New Products, Services, and Procedures","You develop new products, services, and procedures",O*NET,1000
Individual versus Team Structure,Identifies the extent to which employees work in intact teams,O*NET,1000
Percent of Time in Intact Team,"Approximately what percentage of your time do you spend working in an intact team? By intact team we mean a group of 3 or more employees who are jointly responsible for whole work processes and work toward shared goals (e.g., production team; development team; project team).",O*NET,1000
Job Characteristics,"Indicates the level of skill variety, task significance, task identity, autonomy, and feedback in this job",O*NET,1000
Skill Variety,The variety of skills required of people in this job,O*NET,1000
Job Variety,"How much variety is there in your job? That is, to what extent does the job require you to do many different things at work, using a variety of your skills and talents?",O*NET,1000
Complex or High Level Skills Required,Your job requires you to use a number of complex or high-level skills.,O*NET,1000
Variety of Tasks Required,Your job requires you to perform a variety of tasks.,O*NET,1000
Task Significance,"The importance or significance of the tasks performed on this job, as reflected by its effect on the lives or well-being of others",O*NET,1000
Significance or Importance of Job,"In general, how significant or important is your job? That is, are the results of your work likely to significantly affect the lives or well-being of other people?",O*NET,1000
Job Quality Affects Lots of People,Your job is one where a lot of people can be affected by how well the work gets done.,O*NET,1000
Job Itself Is Very Significant,Your job itself is very significant and important in the broader scheme of things.,O*NET,1000
Task Identity,The extent to which tasks performed on this job can be perceived as contributing to the final product,O*NET,1000
Job Involves Whole Piece of Work,"To what extent does your job involve doing a 'whole' and identifiable piece of work? That is, is the job a complete piece of work that has an obvious beginning and end? Or is it only a small part of the overall piece of work, which is finished by other people or automatic machines? (If your job involves many different tasks or pieces of work, try to think about your typical tasks or the tasks you spend the most time on.)",O*NET,1000
Can Do Entire Piece of Work,Your job is arranged so that you can do an entire piece of work from beginning to end.,O*NET,1000
Can Finish What You Start,Your job provides you a chance to completely finish the piece of work you began.,O*NET,1000
Autonomy and Freedom in Job,"How much autonomy and freedom are there in your job? That is, to what extent does your job permit you to decide on your own how to go about doing your job?",O*NET,1000
Chance for Initiative and Judgment,Your job gives you a chance to use your personal initiative and judgment in carrying out the work.,O*NET,1000
Opportunity for Independence and Freedom,Your job gives you considerable opportunity for independence and freedom in how you do your job.,O*NET,1000
Feedback,The extent to which this job provides information about how well one is performing,O*NET,1000
Extent of Feedback From Doing Job Itself,"To what extent does doing the job itself provide you with information about your work performance? That is, does the actual work itself provide clues about how well you are doing--aside from any 'feedback' co-workers or supervisors may provide?",O*NET,1000
Doing Job Provides Chances for Feedback,Just doing the job provides many chances for you to figure out how well you are doing.,O*NET,1000
"After Finishing Job, Know Own Performance","After you finish a job, you know whether you performed well.",O*NET,1000
Job Stability and Rotation,The amount of stability in the job and the extent of job rotation,O*NET,1000
Number of Supervisors in Past Year,How many different supervisors have you had in the past year?,O*NET,1000
Number of Work Teams in Past Year,Approximately how many different work teams have you belonged to during the past year?,O*NET,1000
Number of Work Group Reorganizations in Past Year,"In the past year, how many times has your primary work group gone through some kind of reorganization?",O*NET,1000
Number of Times Nature of Job Changed,"In the past year, how many times has the nature of your job duties changed dramatically?",O*NET,1000
Job Rotation Practices,Which statement best describes the job rotation practices in your job and your work group?,O*NET,1000
Human Resources Systems and Practices,Organizational practices and policies designed to ensure that an organization has employees who are capable of meeting its goals,O*NET,1000
Recruitment and Selection,"Organizational practices, decisions, and processes that affect (a) the capability of an organization to make hiring, promotion, and other personnel decisions, and (b) the number or types of individuals who are willing to apply for or accept a given vacancy",O*NET,1000
Recruitment Operations,"Activities involved in implementing recruitment plans (e.g., selecting sources, realistic job preview)",O*NET,1000
Sources of People for Current Job,Which of the sources listed below are used to recruit people for your current job?,O*NET,1000
Selection Assessment Methods Used,The methods used for selection or promotion of employees,O*NET,1000
Assessment Methods Used to Select for Job,Which of the following assessment methods are used to select people for your current job?,O*NET,1000
Training and Development,"The systematic acquisition of attitudes, concepts, knowledge, roles, or skills that result in improved performance at work",O*NET,1000
Training Methods,The methods used in training programs,O*NET,1000
Training Methods Used in Company,Which of the following training methods have been used in company training courses you have attended in the last two years?,O*NET,1000
Training Topics and Content,What trainers intend to teach trainees through training programs,O*NET,1000
Areas of Recent Formal Training,In which of the following content areas have you received formal training in the last two years?,O*NET,1000
Extent and Support of Training Activities,The extent to which an organization makes training available to its employees and provides financial support for training activities,O*NET,1000
Recent Technical Skill Training,"In the last two years, how often have you attended company sponsored job-related technical training (i.e., technical skill training)?",O*NET,1000
Reward System,Monetary compensation and monetary and non-monetary benefits organizations provide to their employees,O*NET,1000
Basis of Compensation,"The extent to which organizations reward individuals based on: (a) their knowledge, skills, and performance, (b) seniority, (c) team performance, (d) organizational performance, and (e) job attributes",O*NET,1000
Compensation Package Components,"Which of the following is part of your compensation package (i.e., pay)?",O*NET,1000
Benefits,"The extent to which employees' compensation includes benefits such as pensions, insurance, paid leave, awards and bonuses, pay for time not worked, etc.",O*NET,1000
Benefit Components,Which of the following is part of your benefits?,O*NET,1000
Social Processes,"A functional subsystem of organization structure subsuming processes linking people (employees) to their work and to each other and includes elements such as values, goals, leadership, and roles",O*NET,1000
Goals,Individual goal setting.,O*NET,1000
Individual Goal Characteristics,"The extent to which an individual's goal is made explicit, and the probability that an individual can attain the goal",O*NET,1000
Achieve Most Important Individual Goal,"Realistically, the probability that you will achieve your most important individual work goal this year is:",O*NET,1000
How Many Quantitative Individual Goals,"How many of your individual work goals are quantitative (e.g., selling $100,000 worth of merchandise as opposed to selling as much merchandise as possible).",O*NET,1000
Goal Feedback,The extent to which an individual is given periodic feedback regarding his or her progress against a goal,O*NET,1000
How Many Specific Individual Goals,"How many of your individual work goals are specific -- that is, you will know exactly when you have achieved them?",O*NET,1000
When Get Information on Individual Goals,"How often do you get information regarding how close you are to achieving your most important individual work goal (for example, an interim financial report or data on number of units sold)?",O*NET,1000
"Informal, Job-Relevant Feedback","To what extent do you receive informal, job-relevant feedback from your supervisor?",O*NET,1000
"Meet One-on-One With Supervisor on Goals, Training, and Development","During the past year, how often have you met one-on-one with your immediate supervisor to discuss issues such as your performance, goals, training and development?",O*NET,1000
Roles,"Characteristics of job incumbents' roles, such as the extent to which they involve conflict and overload",O*NET,1000
Role Conflict,The extent to which an individual has to deal with conflicting demands,O*NET,1000
Often Receive Conflicting Requests,You often receive conflicting requests from two or more people at work.,O*NET,1000
Work With Groups With Different Focuses,You work with two or more groups who want you to focus on different things.,O*NET,1000
You and Your Supervisor Agree About Job,You and your supervisor agree about what your job should be.,O*NET,1000
Supervisor Makes Conflicting Requests,"Your supervisor often asks you to do two or more things that conflict (for example, save a large amount of money while at the same time dramatically increasing quality).",O*NET,1000
Role Negotiability,The extent to which an individual can negotiate his/her role in an organization,O*NET,1000
Negotiate Changes in Role with Supervisor,You have negotiated changes in the nature of your role at work with your supervisor.,O*NET,1000
Significant Input Into Way You Do Job,You have significant input into the way you do your job.,O*NET,1000
Role Overload,A discrepancy between the job's demands and one's ability to meet those demands,O*NET,1000
Get Assignments without Adequate Resources,You receive assignments at work without adequate resources and materials to complete them properly.,O*NET,1000
Given Enough Time to Do Work,You are given enough time to do what is expected of you at work.,O*NET,1000
Too Much for One Person to Do,It often seems like you have too much work for one person to do.,O*NET,1000
Culture,"Patterns of behaviors and social relationships reflecting the assumptions, values, norms, and artifacts shared by members of the organization",O*NET,1000
Organizational Values,"Indicates the importance of different organizational values such as tradition, stability, innovation, and collaboration",O*NET,1000
Guiding Principles of Organization,"How important are each of the following concepts, or values, as a guiding principle for your organization as a whole.",O*NET,1000
Taking Chances; Going Out on a Limb,Taking chances; going out on a limb,O*NET,1000
Fairness; Justice,Fairness; justice,O*NET,1000
Precision,Precision; paying attention to even the smallest details,O*NET,1000
Stability,Stability; keeping things on an even keel,O*NET,1000
Getting Things Done,Getting things done; taking decisive or quick action,O*NET,1000
Caring About Employees,Caring about employees; showing concern for their well-being,O*NET,1000
Aggressiveness,Aggressiveness; forcefully going after what you want,O*NET,1000
Valuing Customers,Valuing customers; emphasizing customer service,O*NET,1000
Providing High Quality Products,Providing high quality products or services; meeting high standards of excellence,O*NET,1000
Openness and Honesty,Openness; honesty; keeping employees well informed,O*NET,1000
"Flexibility, Adapting to Change","Flexibility, adapting to change",O*NET,1000
Supervisor Role,The nature of supervisory leadership,O*NET,1000
Supervisor Friendly and Supportive,"To what extent does your supervisor act in a friendly and supportive manner? For example, does he/she show concern for members of your work group and respect for your ideas?",O*NET,1000
Supervisor Takes Active Role,"To what extent does your supervisor take an active role in directing your work group's activities by setting goals, planning and scheduling work, assigning tasks, and making sure that each person knows what he/she should be doing?",O*NET,1000
Supervisor Provides Clear Vision,To what extent does your supervisor provide members of your work group with a clear vision of where the group is going and keep everyone fully committed to the work at hand?,O*NET,1000
Supervisor Solves Problems,"To what extent does your supervisor quickly and effectively solve problems, even difficult problems, that come up in your work group?",O*NET,1000
Work Context,Physical and social factors that influence the nature of work,O*NET,1000
Interpersonal Relationships,This category describes the context of the job in terms of human interaction processes,O*NET,1000
Communication,Types and frequency of interactions with other people that are required as part of this job.,O*NET,1000
Communication Methods,How frequently does this job require the use of the following communication methods?,O*NET,1000
Telephone Conversations,How often do you have telephone conversations in this job?,O*NET,1000
E-Mail,How frequently does your job require you to use E-mail?,O*NET,1000
Written Letters and Memos,How frequently does your job require written letters and memos?,O*NET,1000
Face-to-Face Discussions with Individuals and Within Teams,How frequently does your job require face-to-face discussions with individuals and within teams?,O*NET,1000
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",O*NET,1000
Role Relationships,Importance of different types of interactions with others both inside and outside the organization,O*NET,1000
Job Interactions,How important are interactions requiring the worker to:,O*NET,1000
Work With or Contribute to a Work Group or Team,How important is it to work with or contribute to a work group or team in this job?,O*NET,1000
Deal With External Customers or the Public in General,How important is it to deal with external customers (as in retail sales) or the public in general (as in police work) in this job?,O*NET,1000
Coordinate or Lead Others in Accomplishing Work Activities,How important is it to coordinate or lead others (not as a supervisor or team leader) in accomplishing work activities in this job?,O*NET,1000
Responsibility for Others,Amount of responsibility the worker has for other workers as a part of this job,O*NET,1000
Health and Safety of Other Workers,How much responsibility is there for the health and safety of others in this job?,O*NET,1000
Work Outcomes and Results of Other Workers,How responsible is the worker for work outcomes and results of other workers?,O*NET,1000
Conflictual Contact,Amount of conflict that the worker will encounter as part of this job,O*NET,1000
Conflict Situations,How frequently are there conflict situations the employee has to face in this job?,O*NET,1000
"Dealing With Unpleasant, Angry, or Discourteous People","How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",O*NET,1000
Dealing with Violent or Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,O*NET,1000
Physical Work Conditions,This category describes the work context as it relates to the interactions between the worker and the physical job environment,O*NET,1000
Work Setting,Description of physical surroundings that the worker will face as part of this job,O*NET,1000
Frequency Required to Work:,How frequently does this job require the worker to work:,O*NET,1000
"Indoors, Environmentally Controlled",How often does this job require working indoors in an environmentally controlled environment (like a warehouse with air conditioning)?,O*NET,1000
"Indoors, Not Environmentally Controlled",How often does this job require working in an environment that is not environmentally controlled (like a warehouse without air conditioning)?,O*NET,1000
"Outdoors, Exposed to All Weather Conditions","How often does this job require working outdoors, exposed to all weather conditions?",O*NET,1000
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (like in an open shed)?",O*NET,1000
In an Open Vehicle or Operating Equipment,How often does this job require working in an open vehicle or operating equipment (like a tractor)?,O*NET,1000
In an Enclosed Vehicle or Operate Enclosed Equipment,How often does this job require working in a closed vehicle or operate enclosed equipment (like a car)?,O*NET,1000
Physical Proximity,To what extent does this job require the worker to perform job tasks physically close to other people?,O*NET,1000
Environmental Conditions,Description of extreme environmental conditions the worker will be placed in as part of this job,O*NET,1000
Frequency in Environmental Conditions,How often during a usual work period is the worker exposed to the following conditions:,O*NET,1000
"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,O*NET,1000
Exposed to Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,O*NET,1000
Exposed to Extremely Bright or Inadequate Lighting Conditions,How often does this job require working in extremely bright or inadequate lighting conditions?,O*NET,1000
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",O*NET,1000
"Exposed to Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,O*NET,1000
Exposed to Whole Body Vibration,How often does this job require exposure to whole body vibration (like operating a jackhammer or earth moving equipment)?,O*NET,1000
Job Hazards,"Descriptions of types of hazardous conditions the worker could be exposed to as part of this job. This includes the frequency of exposure, and the likelihood and degree of injury if exposed.",O*NET,1000
Frequency of Exposure to Job Hazards,How often does this job require the worker to be exposed to the following hazards?,O*NET,1000
Exposed to Radiation,How often does this job require exposure to radiation?,O*NET,1000
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,O*NET,1000
Exposed to High Places,How often does this job require exposure to high places?,O*NET,1000
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,O*NET,1000
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,O*NET,1000
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",O*NET,1000
Likelihood of Injury From Job Hazards,What is the likelihood that the worker would be injured as a result of being exposed to the following hazards while performing this job?,O*NET,1000
Degree of Injury,"If injury, due to exposure to the following hazards, were to occur while performing this job, how serious would be the likely outcome?",O*NET,1000
Body Positioning,Amount of time the worker will spend in a variety of physical positions on this job,O*NET,1000
Time Spent in Body Positions,How much time in a usual work period does the worker spend:,O*NET,1000
Spend Time Sitting,How much does this job require sitting?,O*NET,1000
Spend Time Standing,How much does this job require standing?,O*NET,1000
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, poles, etc.?",O*NET,1000
Spend Time Walking or Running,How much does this job require walking or running?,O*NET,1000
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",O*NET,1000
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,O*NET,1000
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",O*NET,1000
Spend Time Bending or Twisting Your Body,How much does this job require bending or twisting your body?,O*NET,1000
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,O*NET,1000
Work Attire,Dress requirements of this job,O*NET,1000
Frequency of Wearing Work Attire,How often does the worker wear:,O*NET,1000
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How often does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hearing protection, hard hats or life-jackets?",O*NET,1000
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How often does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",O*NET,1000
Structural Job Characteristics,This category involves the relationships or interactions between the worker and the structural characteristics of the job,O*NET,1000
Criticality of Position,Amount of impact the worker has on final products and their outcomes,O*NET,1000
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not easily correctable?,O*NET,1000
Impact of Decisions,The frequency and nature of the impact of worker's decisions on the organization,O*NET,1000
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,O*NET,1000
Frequency of Decision Making,"How often is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",O*NET,1000
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",O*NET,1000
Routine versus Challenging Work,The relative amounts of routine versus challenging work the worker will perform as part of this job,O*NET,1000
Degree of Automation,How automated is the job?,O*NET,1000
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,O*NET,1000
Importance of Repeating Same Tasks,"How important are continuous, repetitive, physical activities (like key entry) or mental activities (like checking entries in a ledger) to performing this job?",O*NET,1000
"Determine Tasks, Priorities and Goals","How much freedom does the worker have in determining the tasks, priorities, or goals of the job?",O*NET,1000
Competition,Amount of competition that the worker will face as part of this job,O*NET,1000
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,O*NET,1000
Pace and Scheduling,Description of the role that time plays in the way the worker performs the tasks required by this job,O*NET,1000
Time Pressure,How often does this job require the worker to meet strict deadlines?,O*NET,1000
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),O*NET,1000
Work Schedules,How regular are the work schedules for this job?,O*NET,1000
Duration of Typical Work Week,Number of hours typically worked in one week.,O*NET,1000
Detailed Work Activities,Specific work activities that are performed across a small to moderate number of occupations within a job family.,O*NET,1000
Detailed Work Activities List,List of detailed work activities for each occupation,O*NET,1000
Intermediate Work Activities,Work activities that are common across many occupations. They are performed in many job families and industries.,O*NET,1000
Intermediate Work Activities List,List of intermediate work activities for each occupation,O*NET,1000
Occupation-Specific Information,Occupation-Specific Information,O*NET,1000
Tasks,Occupation-Specific Tasks,O*NET,1000
Task List,List of tasks for each occupation,O*NET,1000
Title,Primary title and code used to identify a single occupation in the O*NET-SOC taxonomy,O*NET,1000
Description,A statement of required or important duties performed by workers in an occupation in the O*NET-SOC taxonomy.,O*NET,1000
Alternate Titles,"Alternate or ""lay titles"" include related job titles and occupational titles gathered from job incumbents, occupational experts, government agencies, professional groups, customer input, employer job postings, and other occupational classification systems.",O*NET,1000
Alternate Titles List,List of alternate titles,O*NET,1000
Sample of Reported Titles List,List of sample of reported titles,O*NET,1000
Technology Skills,Information technology and software skills essential to the functions of an occupational role.,O*NET,1000
Technology Skills List,List of technology skills for each occupation.,O*NET,1000
Tools,"Machines, equipment, and tools essential to the performance of an occupational role.",O*NET,1000
Tools List,"List of machines, equipment, and tools for each occupation.",O*NET,1000
Workforce Characteristics,Workforce Characteristics,O*NET,1000
Labor Market Information,Labor Market Information,O*NET,1000
Occupational Statistics,Information related to economic conditions and labor force characteristics of occupations,O*NET,1000
Occupational Outlook,Occupational Outlook,O*NET,1000
Occupational Projections,Projections of future economic conditions and labor force characteristics of occupations,O*NET,1000
Job satisfaction,Academic construct from OpenAlex literature.,OpenAlex,1238
Organizational commitment,Academic construct from OpenAlex literature.,OpenAlex,1113
Job performance,Academic construct from OpenAlex literature.,OpenAlex,884
Organizational culture,Academic construct from OpenAlex literature.,OpenAlex,519
Occupational stress,Academic construct from OpenAlex literature.,OpenAlex,466
Job design,Academic construct from OpenAlex literature.,OpenAlex,433
Burnout,Academic construct from OpenAlex literature.,OpenAlex,381
Employee engagement,Academic construct from OpenAlex literature.,OpenAlex,357
Job attitude,Academic construct from OpenAlex literature.,OpenAlex,307
Work engagement,Academic construct from OpenAlex literature.,OpenAlex,300
Organizational citizenship behavior,Academic construct from OpenAlex literature.,OpenAlex,298
Organisation climate,Academic construct from OpenAlex literature.,OpenAlex,264
Organizational learning,Academic construct from OpenAlex literature.,OpenAlex,260
Big Five personality traits,Academic construct from OpenAlex literature.,OpenAlex,258
Organizational performance,Academic construct from OpenAlex literature.,OpenAlex,238
Perceived organizational support,Academic construct from OpenAlex literature.,OpenAlex,220
Organizational justice,Academic construct from OpenAlex literature.,OpenAlex,210
