Construct_Name,Source,Total_Paper_Count,Concept_Levels,Journal_Count,Journals,Year_Min,Year_Max
Robustness (evolution),OpenAlex,22,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1992,2025
Social cognitive theory of morality,OpenAlex,22,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,2006,2024
Strong ties,OpenAlex,22,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1989,2026
Uncertainty avoidance,OpenAlex,22,4,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1999,2025
Worry,OpenAlex,22,3,6,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1945,2023
Cognitive complexity,OpenAlex,21,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1974,2026
Norm of reciprocity,OpenAlex,21,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1996,2023
Presenteeism,OpenAlex,21,3,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2001,2024
Safety climate,OpenAlex,21,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2000,2023
Social venture capital,OpenAlex,21,3,2,Academy of Management Journal; Journal of Management,1991,2020
Wechsler Adult Intelligence Scale,OpenAlex,21,3,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1918,2021
Change management (ITSM),OpenAlex,20,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,1968,2024
Critical appraisal,OpenAlex,20,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1975,2026
Differential item functioning,OpenAlex,20,4,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1980,2018
Distancing,OpenAlex,20,5,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1984,2026
Merit pay,OpenAlex,20,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1973,2019
Organizational field,OpenAlex,20,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2006,2025
Structural holes,OpenAlex,20,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1991,2026
Work experience,OpenAlex,20,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1973,2026
Abusive relationship,OpenAlex,19,5,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2011,2023
Event study,OpenAlex,19,3,2,Academy of Management Journal; Journal of Management,1987,2024
Financial capital,OpenAlex,19,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1989,2021
Nationality,OpenAlex,19,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1920,2023
Reading comprehension,OpenAlex,19,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Personnel Psychology,1930,2026
Thematic analysis,OpenAlex,19,3,7,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1998,2026
Adjective check list,OpenAlex,18,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1957,2002
Alpha (finance),OpenAlex,18,4,2,Journal of Applied Psychology; Personnel Psychology,1920,2020
Avoidance coping,OpenAlex,18,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1984,2026
Collective identity,OpenAlex,18,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,2000,2025
Free recall,OpenAlex,18,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,1987,2022
Personality development,OpenAlex,18,3,6,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1971,2026
Priming (agriculture),OpenAlex,18,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1984,2022
Service provider,OpenAlex,18,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1996,2026
Stock market,OpenAlex,18,3,3,Academy of Management Journal; Journal of Management; Personnel Psychology,1978,2020
Strategic control,OpenAlex,18,4,2,Academy of Management Journal; Journal of Management,1976,2025
Asian americans,OpenAlex,17,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1994,2023
Civil service,OpenAlex,17,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1917,2026
Cognitive bias,OpenAlex,17,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1986,2026
Cognitive interview,OpenAlex,17,3,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Personnel Psychology,1985,2015
Entrepreneurial orientation,OpenAlex,17,3,5,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1999,2023
Personality theory,OpenAlex,17,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1935,2005
Semi-structured interview,OpenAlex,17,3,5,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1967,2016
Sexual identity,OpenAlex,17,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1996,2026
Source credibility,OpenAlex,17,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Personnel Psychology,1976,2008
Trait theory,OpenAlex,17,4,6,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1992,2026
Acquiescence,OpenAlex,16,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1964,2023
Customer retention,OpenAlex,16,4,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1995,2023
Implicit personality theory,OpenAlex,16,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1981,2026
Individualistic culture,OpenAlex,16,4,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,2002,2023
Operator (biology),OpenAlex,16,5,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1954,2025
Organizational safety,OpenAlex,16,5,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1978,2024
Transcription factor,OpenAlex,16,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1954,2016
Transformation (genetics),OpenAlex,16,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Personnel Psychology,1935,2024
Acculturation,OpenAlex,15,3,7,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1994,2022
Conflict resolution research,OpenAlex,15,3,3,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1995,2024
Face perception,OpenAlex,15,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1974,2026
Phenotype,OpenAlex,15,3,6,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1977,2023
Qualitative analysis,OpenAlex,15,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1942,2026
Raw score,OpenAlex,15,3,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1957,2017
Repressor,OpenAlex,15,4,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1954,2013
Sleep deprivation,OpenAlex,15,3,3,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology,1957,2025
Strategic thinking,OpenAlex,15,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Personnel Psychology,1979,2025
Task analysis,OpenAlex,15,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1944,2026
Through-the-lens metering,OpenAlex,15,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,2001,2026
Univariate,OpenAlex,15,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1978,2024
Collective action,OpenAlex,14,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1986,2024
Complement (music),OpenAlex,14,5,6,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1977,2023
Complementation,OpenAlex,14,4,6,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1977,2023
Deci-,OpenAlex,14,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1980,2025
Family-friendly,OpenAlex,14,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1995,2025
Institutional investor,OpenAlex,14,3,2,Academy of Management Journal; Journal of Management,2001,2025
Investment decisions,OpenAlex,14,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1978,2025
Latent variable model,OpenAlex,14,3,3,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1986,2026
Legitimation,OpenAlex,14,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2002,2024
Normative model of decision-making,OpenAlex,14,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1955,2025
Part-time employment,OpenAlex,14,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1975,2017
Physical health,OpenAlex,14,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1992,2024
Stakeholder management,OpenAlex,14,3,2,Academy of Management Journal; Journal of Management,1999,2026
Strategic alliance,OpenAlex,14,3,2,Academy of Management Journal; Journal of Management,1993,2026
Subject matter,OpenAlex,14,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,1924,2006
Subjective well-being,OpenAlex,14,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior,1984,2026
Business education,OpenAlex,13,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1924,1990
Citation analysis,OpenAlex,13,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1974,2018
Context effect,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1993,2026
Control theory (sociology),OpenAlex,13,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1956,2025
Creativity technique,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1963,2026
Cross-cultural leadership,OpenAlex,13,5,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,2000,2026
Dark triad,OpenAlex,13,4,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,2011,2025
Equal employment opportunity,OpenAlex,13,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1966,2026
Guanxi,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1996,2026
Human capital theory,OpenAlex,13,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1995,2018
Human resource management system,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,1972,2026
Isomorphism (crystallography),OpenAlex,13,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1991,2018
Mainland China,OpenAlex,13,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1993,2024
Mental hygiene,OpenAlex,13,3,1,Journal of Applied Psychology,1917,1951
Opinion survey,OpenAlex,13,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1946,2000
Overweight,OpenAlex,13,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior,1992,2023
Perspective-taking,OpenAlex,13,3,6,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2008,2026
Protocol (science),OpenAlex,13,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1983,2025
Social competence,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1941,2025
Team Role Inventories,OpenAlex,13,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1993,2026
Temporary work,OpenAlex,13,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1992,2026
Time perception,OpenAlex,13,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,1924,2024
Working memory,OpenAlex,13,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Personnel Psychology,1924,2020
16PF Questionnaire,OpenAlex,12,5,3,Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1972,2013
Achievement test,OpenAlex,12,3,2,Journal of Applied Psychology; Personnel Psychology,1923,1957
Aging in the American workforce,OpenAlex,12,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1995,2024
Androgyny,OpenAlex,12,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1977,1997
Consulting psychology,OpenAlex,12,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1930,2011
Dissent,OpenAlex,12,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1981,2019
Economic shortage,OpenAlex,12,3,5,Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1974,2025
Framing effect,OpenAlex,12,3,4,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,1984,2026
Job training,OpenAlex,12,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1958,2025
Management information systems,OpenAlex,12,3,2,Academy of Management Journal; Journal of Management,1962,2006
Meta-regression,OpenAlex,12,3,3,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1987,2022
Operant conditioning,OpenAlex,12,3,2,Journal of Applied Psychology; Journal of Management,1972,1989
Organizational behavior management,OpenAlex,12,4,4,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1978,2024
Placebo,OpenAlex,12,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1974,2010
Presidential system,OpenAlex,12,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Personnel Psychology,1946,2024
Sexual minority,OpenAlex,12,3,3,Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1996,2025
Sleep quality,OpenAlex,12,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1942,2024
Adjective,OpenAlex,11,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1957,1983
Alcohol consumption,OpenAlex,11,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1988,2020
Authoritarian leadership style,OpenAlex,11,5,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2007,2026
Census,OpenAlex,11,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1937,2016
Citation impact,OpenAlex,11,3,3,Academy of Management Journal; Journal of Organizational Behavior; Personnel Psychology,1953,2010
Civic virtue,OpenAlex,11,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1995,2017
Computer-mediated communication,OpenAlex,11,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1988,2026
Corporate venture capital,OpenAlex,11,3,2,Academy of Management Journal; Journal of Management,2006,2024
Cost leadership,OpenAlex,11,3,2,Academy of Management Journal; Journal of Management,1990,2024
Creative problem-solving,OpenAlex,11,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology,1959,2026
Diversity training,OpenAlex,11,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1995,2022
Economic capital,OpenAlex,11,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1987,2019
Egalitarianism,OpenAlex,11,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1985,2023
Heart rate,OpenAlex,11,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,1926,2019
Hypnosis,OpenAlex,11,3,1,Journal of Applied Psychology,1938,1989
Internalization,OpenAlex,11,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1961,2025
Knowledge value chain,OpenAlex,11,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2003,2026
Need for cognition,OpenAlex,11,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2000,2026
Product market,OpenAlex,11,3,3,Academy of Management Journal; Journal of Management; Personnel Psychology,1961,2025
Quality of working life,OpenAlex,11,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1977,2026
Reputation management,OpenAlex,11,3,4,Academy of Management Journal; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,1990,2026
Retirement age,OpenAlex,11,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior,1976,2022
Service delivery framework,OpenAlex,11,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1990,2015
Service personnel,OpenAlex,11,3,2,Academy of Management Journal; Journal of Applied Psychology,1917,2009
Stakeholder analysis,OpenAlex,11,3,2,Academy of Management Journal; Journal of Management,1999,2026
Subgroup analysis,OpenAlex,11,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1996,2023
Total quality management,OpenAlex,11,3,4,Academy of Management Journal; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1994,2009
Willingness to accept,OpenAlex,11,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1988,2009
Auditory perception,OpenAlex,10,3,1,Journal of Applied Psychology,1940,1980
Bem Sex-Role Inventory,OpenAlex,10,3,1,Journal of Vocational Behavior,1978,1998
Breach of contract,OpenAlex,10,3,5,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2000,2022
Ciphertext,OpenAlex,10,3,5,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1994,2022
Cognitive resource theory,OpenAlex,10,3,4,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1996,2026
Communism,OpenAlex,10,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1949,2021
Construals,OpenAlex,10,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2001,2025
Corporate group,OpenAlex,10,3,2,Academy of Management Journal; Journal of Management,2000,2023
Customer advocacy,OpenAlex,10,4,2,Academy of Management Journal; Journal of Applied Psychology,1995,2014
Death anxiety,OpenAlex,10,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,2014,2023
Imprinting (psychology),OpenAlex,10,3,4,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,2010,2026
Job market,OpenAlex,10,3,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1972,2023
Malleability,OpenAlex,10,4,5,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1994,2022
Market power,OpenAlex,10,3,2,Academy of Management Journal; Journal of Management,1984,2017
Opposition (politics),OpenAlex,10,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1961,2023
Polynomial regression,OpenAlex,10,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1986,2025
Publication bias,OpenAlex,10,3,4,Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,2003,2023
Research methodology,OpenAlex,10,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1965,2026
Safety behaviors,OpenAlex,10,4,3,Journal of Applied Psychology; Journal of Management; Personnel Psychology,1996,2017
Social dominance orientation,OpenAlex,10,5,4,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,2005,2026
Social movement,OpenAlex,10,3,2,Academy of Management Journal; Journal of Management,2013,2022
Status attainment,OpenAlex,10,4,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior,1977,2025
Supply chain management,OpenAlex,10,3,2,Academy of Management Journal; Journal of Management,1968,2022
Transferability,OpenAlex,10,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1969,2007
Work productivity,OpenAlex,10,3,4,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Personnel Psychology,1961,2024
Bayesian inference,OpenAlex,9,3,2,Journal of Applied Psychology; Journal of Management,2007,2014
Business decision mapping,OpenAlex,9,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1980,2021
Capital call,OpenAlex,9,5,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Personnel Psychology,2008,2018
Cognitive evaluation theory,OpenAlex,9,4,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1980,2023
Coopetition,OpenAlex,9,3,4,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2006,2026
Economies of scope,OpenAlex,9,3,2,Academy of Management Journal; Journal of Management,1993,2023
Effects of sleep deprivation on cognitive performance,OpenAlex,9,3,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1966,2026
Emotional support,OpenAlex,9,3,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1991,2026
Executive functions,OpenAlex,9,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1947,2012
Gender pay gap,OpenAlex,9,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1987,2026
Hospitality,OpenAlex,9,3,5,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1983,2018
Interference (communication),OpenAlex,9,3,1,Journal of Applied Psychology,1966,2002
Interpersonal influence,OpenAlex,9,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,2001,2019
Irritability,OpenAlex,9,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1987,2019
Normative social influence,OpenAlex,9,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1992,2025
