Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Music,O*NET,"Work involves conducting, composing, or playing music or singing.",0,https://www.onetonline.org/find/result?s=Music
Creative Writing,O*NET,"Work involves developing creative written works, such as novels, scripts, song lyrics, poetry, stories, or advertisements.",0,https://www.onetonline.org/find/result?s=Creative+Writing
Media,O*NET,"Work involves producing, developing, writing, directing, or presenting information through print, radio, television, or digital media.",0,https://www.onetonline.org/find/result?s=Media
Culinary Art,O*NET,"Work involves preparing, cooking, and presenting food in a distinctive style usually associated with a specific culture or region.",0,https://www.onetonline.org/find/result?s=Culinary+Art
Teaching/Education,O*NET,"Work involves teaching through lectures, discussions, and demonstrations in one or more subjects.",0,https://www.onetonline.org/find/result?s=Teaching%2FEducation
Health Care Service,O*NET,"Work involves providing health care services to individuals to include the diagnosis, prevention, or treatment of diseases and other forms of illness or impairment.",0,https://www.onetonline.org/find/result?s=Health+Care+Service
Religious Activities,O*NET,"Work involves conducting religious worship, leading a church or other religious group, and offering moral guidance associated with beliefs and practices of a religious faith.",0,https://www.onetonline.org/find/result?s=Religious+Activities
Personal Service,O*NET,"Work involves providing personal services to individuals in need of non-medical assistance such as helping arrange or plan for travel, meals, or events.",0,https://www.onetonline.org/find/result?s=Personal+Service
Professional Advising,O*NET,"Work involves providing expert advice, coaching, and counseling on topics such as careers, educational opportunities, and educational and professional development.",0,https://www.onetonline.org/find/result?s=Professional+Advising
Business Initiatives,O*NET,Work involves creating strategic plans or taking actions to expand an organization's business or market share.,0,https://www.onetonline.org/find/result?s=Business+Initiatives
Sales,O*NET,Work involves selling goods or services.,0,https://www.onetonline.org/find/result?s=Sales
Marketing/Advertising,O*NET,"Work involves promoting or creating a public image for products, services, or organizations to attract interest, engagement, or sales.",0,https://www.onetonline.org/find/result?s=Marketing%2FAdvertising
Finance,O*NET,"Work involves directing and managing financial activities, such as planning and investments for an individual or organization to generate income.",0,https://www.onetonline.org/find/result?s=Finance
Accounting,O*NET,"Work involves examining, analyzing, and interpreting accounting records for financial statements, or maintaining, auditing, or evaluating records and accounts.",0,https://www.onetonline.org/find/result?s=Accounting
Human Resources,O*NET,"Work involves recruiting, selecting, and training job applicants, maintaining employee personnel records, administering compensation and employee-benefit programs, and conducting employee performance reviews.",0,https://www.onetonline.org/find/result?s=Human+Resources
Office Work,O*NET,"Work involves clerical and administrative tasks for an organization such as answering phones, bookkeeping, updating records, scheduling appointments or meetings, and editing of documents and files.",0,https://www.onetonline.org/find/result?s=Office+Work
Management/Administration,O*NET,"Work involves planning, directing, or coordinating the daily operations of an organization, and overseeing personnel, business, or administrative services.",0,https://www.onetonline.org/find/result?s=Management%2FAdministration
Public Speaking,O*NET,"Work involves speaking before an audience to educate, entertain, or influence the listeners.",0,https://www.onetonline.org/find/result?s=Public+Speaking
Politics,O*NET,Work involves engaging in political activities to influence government policy.,0,https://www.onetonline.org/find/result?s=Politics
Law,O*NET,Work involves studying and applying legal knowledge.,0,https://www.onetonline.org/find/result?s=Law
Work Styles,O*NET,"Personality tendencies exhibited at work, which can affect how well someone performs a job.",0,https://www.onetonline.org/find/result?s=Work+Styles
Proactive and Growth Oriented,O*NET,"A tendency to proactively pursue excellence through setting high standards, engaging in continuous learning, and persisting and adapting in the face of challenges and uncertainty at work.",0,https://www.onetonline.org/find/result?s=Proactive+and+Growth+Oriented
Innovation,O*NET,"A tendency to be inventive, to be imaginative, and to adopt new perspectives on ways to accomplish work.",0,https://www.onetonline.org/find/result?s=Innovation
Achievement Orientation,O*NET,"A tendency to establish and maintain personally challenging work-related goals, set high work-related standards, and exert high effort toward meeting those goals and standards.",0,https://www.onetonline.org/find/result?s=Achievement+Orientation
Intellectual Curiosity,O*NET,A tendency to seek out and acquire new work-related knowledge and obtain a deep understanding of work-related subjects.,0,https://www.onetonline.org/find/result?s=Intellectual+Curiosity
Tolerance for Ambiguity,O*NET,A tendency to be comfortable with ambiguity and uncertainty at work.,0,https://www.onetonline.org/find/result?s=Tolerance+for+Ambiguity
Initiative,O*NET,A tendency to be proactive and take on extra responsibilities and tasks that may fall outside of one's required work role.,0,https://www.onetonline.org/find/result?s=Initiative
Adaptability,O*NET,"A tendency to be open to and comfortable with change, new experiences, or ideas at work.",0,https://www.onetonline.org/find/result?s=Adaptability
Self-Confidence,O*NET,A tendency to believe in one's work-related capabilities and ability to control one's work-related outcomes.,0,https://www.onetonline.org/find/result?s=Self-Confidence
Perseverance,O*NET,A tendency to exhibit determination and resolve to perform or complete tasks in the face of difficult circumstances or obstacles at work.,0,https://www.onetonline.org/find/result?s=Perseverance
Leadership Orientation,O*NET,"A tendency to lead, take charge, offer opinions, and provide direction at work.",0,https://www.onetonline.org/find/result?s=Leadership+Orientation
Interpersonally Oriented,O*NET,"A tendency to engage with others in a positive, supportive, selfless, and considerate manner at work.",0,https://www.onetonline.org/find/result?s=Interpersonally+Oriented
Humility,O*NET,A tendency to be modest and humble when interacting with others at work.,0,https://www.onetonline.org/find/result?s=Humility
Sincerity,O*NET,"A tendency to be genuine and sincere in interactions with others at work, without concern for personal gain or self-interest.",0,https://www.onetonline.org/find/result?s=Sincerity
Empathy,O*NET,A tendency to show concern for others and be sensitive to others' needs and feelings at work.,0,https://www.onetonline.org/find/result?s=Empathy
Cooperation,O*NET,"A tendency to be pleasant, helpful, and willing to assist others at work.",0,https://www.onetonline.org/find/result?s=Cooperation
Optimism,O*NET,"A tendency to exhibit a positive attitude and positive emotions at work, even under difficult circumstances.",0,https://www.onetonline.org/find/result?s=Optimism
Social Orientation,O*NET,"A tendency to seek out, enjoy, and be energized by social interaction at work.",0,https://www.onetonline.org/find/result?s=Social+Orientation
Conscientious and Rule Oriented,O*NET,"A tendency to approach work with careful attention to quality, reliability, and ethical standards while maintaining organized and thorough work practices.",0,https://www.onetonline.org/find/result?s=Conscientious+and+Rule+Oriented
Cautiousness,O*NET,"A tendency to be careful, deliberate, and risk-avoidant when making work-related decisions or doing work.",0,https://www.onetonline.org/find/result?s=Cautiousness
Attention to Detail,O*NET,"A tendency to be detail-oriented, organized, and thorough in completing work.",0,https://www.onetonline.org/find/result?s=Attention+to+Detail
Dependability,O*NET,"A tendency to be reliable, responsible, and consistent in meeting work-related obligations.",0,https://www.onetonline.org/find/result?s=Dependability
Integrity,O*NET,A tendency to be honest and ethical at work.,0,https://www.onetonline.org/find/result?s=Integrity
Emotionally Resilient,O*NET,"A tendency to maintain emotional stability and cope effectively in the face of adversity, criticism, or high-pressure situations at work.",0,https://www.onetonline.org/find/result?s=Emotionally+Resilient
Stress Tolerance,O*NET,A tendency to cope and function effectively in stressful situations at work.,0,https://www.onetonline.org/find/result?s=Stress+Tolerance
Self-Control,O*NET,A tendency to remain calm and composed and to manage emotions effectively in response to criticism or difficult situations at work.,0,https://www.onetonline.org/find/result?s=Self-Control
Worker Requirements,O*NET,Worker Requirements,0,https://www.onetonline.org/find/result?s=Worker+Requirements
Basic Skills,O*NET,Developed capacities that facilitate learning or the more rapid acquisition of knowledge,0,https://www.onetonline.org/find/result?s=Basic+Skills
Content,O*NET,Background structures needed to work with and acquire more specific skills in a variety of different domains,0,https://www.onetonline.org/find/result?s=Content
Reading Comprehension,O*NET,Understanding written sentences and paragraphs in work-related documents.,0,https://www.onetonline.org/find/result?s=Reading+Comprehension
Active Listening,O*NET,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",0,https://www.onetonline.org/find/result?s=Active+Listening
Writing,O*NET,Communicating effectively in writing as appropriate for the needs of the audience.,0,https://www.onetonline.org/find/result?s=Writing
Speaking,O*NET,Talking to others to convey information effectively.,0,https://www.onetonline.org/find/result?s=Speaking
Mathematics,O*NET,Using mathematics to solve problems.,0,https://www.onetonline.org/find/result?s=Mathematics
Science,O*NET,Using scientific rules and methods to solve problems.,0,https://www.onetonline.org/find/result?s=Science
Process,O*NET,Procedures that contribute to the more rapid acquisition of knowledge and skill across a variety of domains,0,https://www.onetonline.org/find/result?s=Process
Critical Thinking,O*NET,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",0,https://www.onetonline.org/find/result?s=Critical+Thinking
Active Learning,O*NET,Understanding the implications of new information for both current and future problem-solving and decision-making.,0,https://www.onetonline.org/find/result?s=Active+Learning
Learning Strategies,O*NET,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.,0,https://www.onetonline.org/find/result?s=Learning+Strategies
Monitoring,O*NET,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.",0,https://www.onetonline.org/find/result?s=Monitoring
Cross-Functional Skills,O*NET,Developed capacities that facilitate performance of activities that occur across jobs,0,https://www.onetonline.org/find/result?s=Cross-Functional+Skills
Social Skills,O*NET,Developed capacities used to work with people to achieve goals,0,https://www.onetonline.org/find/result?s=Social+Skills
Social Perceptiveness,O*NET,Being aware of others' reactions and understanding why they react as they do.,0,https://www.onetonline.org/find/result?s=Social+Perceptiveness
Coordination,O*NET,Adjusting actions in relation to others' actions.,0,https://www.onetonline.org/find/result?s=Coordination
Persuasion,O*NET,Persuading others to change their minds or behavior.,0,https://www.onetonline.org/find/result?s=Persuasion
Negotiation,O*NET,Bringing others together and trying to reconcile differences.,0,https://www.onetonline.org/find/result?s=Negotiation
Instructing,O*NET,Teaching others how to do something.,0,https://www.onetonline.org/find/result?s=Instructing
Service Orientation,O*NET,Actively looking for ways to help people.,0,https://www.onetonline.org/find/result?s=Service+Orientation
Complex Problem Solving Skills,O*NET,"Developed capacities used to solve novel, ill-defined problems in complex, real-world settings",0,https://www.onetonline.org/find/result?s=Complex+Problem+Solving+Skills
Complex Problem Solving,O*NET,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.,0,https://www.onetonline.org/find/result?s=Complex+Problem+Solving
Technical Skills,O*NET,"Developed capacities used to design, set-up, operate, and correct malfunctions involving application of machines or technological systems",0,https://www.onetonline.org/find/result?s=Technical+Skills
Operations Analysis,O*NET,Analyzing needs and product requirements to create a design.,0,https://www.onetonline.org/find/result?s=Operations+Analysis
Technology Design,O*NET,Generating or adapting equipment and technology to serve user needs.,0,https://www.onetonline.org/find/result?s=Technology+Design
Equipment Selection,O*NET,Determining the kind of tools and equipment needed to do a job.,0,https://www.onetonline.org/find/result?s=Equipment+Selection
Installation,O*NET,"Installing equipment, machines, wiring, or programs to meet specifications.",0,https://www.onetonline.org/find/result?s=Installation
Programming,O*NET,Writing computer programs for various purposes.,0,https://www.onetonline.org/find/result?s=Programming
Operations Monitoring,O*NET,"Watching gauges, dials, or other indicators to make sure a machine is working properly.",0,https://www.onetonline.org/find/result?s=Operations+Monitoring
Operation and Control,O*NET,Controlling operations of equipment or systems.,0,https://www.onetonline.org/find/result?s=Operation+and+Control
Equipment Maintenance,O*NET,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.,0,https://www.onetonline.org/find/result?s=Equipment+Maintenance
Troubleshooting,O*NET,Determining causes of operating errors and deciding what to do about it.,0,https://www.onetonline.org/find/result?s=Troubleshooting
Repairing,O*NET,Repairing machines or systems using the needed tools.,0,https://www.onetonline.org/find/result?s=Repairing
Quality Control Analysis,O*NET,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance.",0,https://www.onetonline.org/find/result?s=Quality+Control+Analysis
Systems Skills,O*NET,"Developed capacities used to understand, monitor, and improve socio-technical systems",0,https://www.onetonline.org/find/result?s=Systems+Skills
Judgment and Decision Making,O*NET,Considering the relative costs and benefits of potential actions to choose the most appropriate one.,0,https://www.onetonline.org/find/result?s=Judgment+and+Decision+Making
Systems Analysis,O*NET,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.",0,https://www.onetonline.org/find/result?s=Systems+Analysis
Systems Evaluation,O*NET,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.",0,https://www.onetonline.org/find/result?s=Systems+Evaluation
Resource Management Skills,O*NET,Developed capacities used to allocate resources efficiently,0,https://www.onetonline.org/find/result?s=Resource+Management+Skills
Time Management,O*NET,Managing one's own time and the time of others.,0,https://www.onetonline.org/find/result?s=Time+Management
Management of Financial Resources,O*NET,"Determining how money will be spent to get the work done, and accounting for these expenditures.",0,https://www.onetonline.org/find/result?s=Management+of+Financial+Resources
Management of Material Resources,O*NET,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.",0,https://www.onetonline.org/find/result?s=Management+of+Material+Resources
Management of Personnel Resources,O*NET,"Motivating, developing, and directing people as they work, identifying the best people for the job.",0,https://www.onetonline.org/find/result?s=Management+of+Personnel+Resources
Knowledge,O*NET,Organized sets of principles and facts applying in general domains,0,https://www.onetonline.org/find/result?s=Knowledge
Business and Management,O*NET,"Knowledge of principles and facts related to business administration and accounting, human and material resource management in organizations, sales and marketing, economics, and office information and organizing systems",0,https://www.onetonline.org/find/result?s=Business+and+Management
Administration and Management,O*NET,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.",0,https://www.onetonline.org/find/result?s=Administration+and+Management
Administrative,O*NET,"Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.",0,https://www.onetonline.org/find/result?s=Administrative
Economics and Accounting,O*NET,"Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.",0,https://www.onetonline.org/find/result?s=Economics+and+Accounting
Sales and Marketing,O*NET,"Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.",0,https://www.onetonline.org/find/result?s=Sales+and+Marketing
Customer and Personal Service,O*NET,"Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.",0,https://www.onetonline.org/find/result?s=Customer+and+Personal+Service
Personnel and Human Resources,O*NET,"Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.",0,https://www.onetonline.org/find/result?s=Personnel+and+Human+Resources
Manufacturing and Production,O*NET,"Knowledge of principles and facts related to the production, processing, storage, and distribution of manufactured and agricultural goods",0,https://www.onetonline.org/find/result?s=Manufacturing+and+Production
Production and Processing,O*NET,"Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.",0,https://www.onetonline.org/find/result?s=Production+and+Processing
Food Production,O*NET,"Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.",0,https://www.onetonline.org/find/result?s=Food+Production
Engineering and Technology,O*NET,"Knowledge of the design, development, and application of technology for specific purposes.",0,https://www.onetonline.org/find/result?s=Engineering+and+Technology
Computers and Electronics,O*NET,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.",0,https://www.onetonline.org/find/result?s=Computers+and+Electronics
Design,O*NET,"Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.",0,https://www.onetonline.org/find/result?s=Design
Building and Construction,O*NET,"Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.",0,https://www.onetonline.org/find/result?s=Building+and+Construction
Mechanical,O*NET,"Knowledge of machines and tools, including their designs, uses, repair, and maintenance.",0,https://www.onetonline.org/find/result?s=Mechanical
Mathematics and Science,O*NET,"Knowledge of the history, theories, methods, and applications of the physical, biological, social, mathematical, and geography",0,https://www.onetonline.org/find/result?s=Mathematics+and+Science
Physics,O*NET,"Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.",0,https://www.onetonline.org/find/result?s=Physics
Chemistry,O*NET,"Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.",0,https://www.onetonline.org/find/result?s=Chemistry
Biology,O*NET,"Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.",0,https://www.onetonline.org/find/result?s=Biology
Psychology,O*NET,"Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.",0,https://www.onetonline.org/find/result?s=Psychology
Sociology and Anthropology,O*NET,"Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.",0,https://www.onetonline.org/find/result?s=Sociology+and+Anthropology
Geography,O*NET,"Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.",0,https://www.onetonline.org/find/result?s=Geography
Health Services,O*NET,"Knowledge of principles and facts regarding diagnosing, curing, and preventing disease, and improving and preserving physical and mental health and well-being",0,https://www.onetonline.org/find/result?s=Health+Services
Medicine and Dentistry,O*NET,"Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.",0,https://www.onetonline.org/find/result?s=Medicine+and+Dentistry
Therapy and Counseling,O*NET,"Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.",0,https://www.onetonline.org/find/result?s=Therapy+and+Counseling
Education and Training,O*NET,"Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.",0,https://www.onetonline.org/find/result?s=Education+and+Training
Arts and Humanities,O*NET,"Knowledge of facts and principles related to the branches of learning concerned with human thought, language, and the arts.",0,https://www.onetonline.org/find/result?s=Arts+and+Humanities
English Language,O*NET,"Knowledge of the structure and content of the English language including the meaning and spelling of words, and rules of composition and grammar.",0,https://www.onetonline.org/find/result?s=English+Language
Foreign Language,O*NET,"Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation.",0,https://www.onetonline.org/find/result?s=Foreign+Language
Fine Arts,O*NET,"Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.",0,https://www.onetonline.org/find/result?s=Fine+Arts
History and Archeology,O*NET,"Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures.",0,https://www.onetonline.org/find/result?s=History+and+Archeology
Philosophy and Theology,O*NET,"Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.",0,https://www.onetonline.org/find/result?s=Philosophy+and+Theology
Law and Public Safety,O*NET,"Knowledge of regulations and methods for maintaining people and property free from danger, injury, or damage; the rules of public conduct established and enforced by legislation, and the political process establishing such rules.",0,https://www.onetonline.org/find/result?s=Law+and+Public+Safety
Public Safety and Security,O*NET,"Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.",0,https://www.onetonline.org/find/result?s=Public+Safety+and+Security
Law and Government,O*NET,"Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.",0,https://www.onetonline.org/find/result?s=Law+and+Government
Communications,O*NET,Knowledge of the science and art of delivering information,0,https://www.onetonline.org/find/result?s=Communications
Telecommunications,O*NET,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.",0,https://www.onetonline.org/find/result?s=Telecommunications
Communications and Media,O*NET,"Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.",0,https://www.onetonline.org/find/result?s=Communications+and+Media
Transportation,O*NET,"Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.",0,https://www.onetonline.org/find/result?s=Transportation
Education,O*NET,Prior educational experience required to perform in a job,0,https://www.onetonline.org/find/result?s=Education
Required Level of Education,O*NET,The level of education required to perform a job.,0,https://www.onetonline.org/find/result?s=Required+Level+of+Education
Instructional Program Required,O*NET,The instructional program required for this job,0,https://www.onetonline.org/find/result?s=Instructional+Program+Required
Education Level in Specific Subjects,O*NET,"The amount of education required in 15 subject areas to perform in a job. Subject areas cover most of the courses that occur in high school, junior college, college undergraduate degree programs, and other education and training programs",0,https://www.onetonline.org/find/result?s=Education+Level+in+Specific+Subjects
Technical Vocational,O*NET,"Courses focus on non-business technical skills, such as Agriculture, Industrial Arts, Automobile and Shop, and Electronics",0,https://www.onetonline.org/find/result?s=Technical+Vocational
Business Vocational,O*NET,"Courses focus on basic business skills, such as Word Processing, Filing, Bookkeeping/Basic Accounting",0,https://www.onetonline.org/find/result?s=Business+Vocational
English/language Arts,O*NET,"Courses focus on reading, interpretation, and writing, such as Literature, Composition, Journalism, and Creative Writing",0,https://www.onetonline.org/find/result?s=English%2Flanguage+Arts
Oral Communication,O*NET,"Courses focus on oral communication and speech, such as Oral Communication, Speech, and Interpersonal Communication",0,https://www.onetonline.org/find/result?s=Oral+Communication
Languages,O*NET,"Courses focus on reading, writing, and/or speaking languages other than English, such as French, Chinese, German, Japanese, Latin, Russian, and Spanish",0,https://www.onetonline.org/find/result?s=Languages
Basic Math,O*NET,"Courses focus on basic and applied math, such as General Math and Business Math",0,https://www.onetonline.org/find/result?s=Basic+Math
Advanced Math,O*NET,"Courses focus on advanced topics in math, such as Algebra, Geometry, Calculus, and Statistics",0,https://www.onetonline.org/find/result?s=Advanced+Math
Computer Science,O*NET,"Courses focus on computers and their uses, such as Programming, Information Systems Management, and Software Applications",0,https://www.onetonline.org/find/result?s=Computer+Science
Biological Science,O*NET,"Courses focus on the study of life and living beings, such as life science, biology, anatomy and physiology",0,https://www.onetonline.org/find/result?s=Biological+Science
Applied Science,O*NET,"Courses focus on the application of science, such as Engineering, Health, and Medicine",0,https://www.onetonline.org/find/result?s=Applied+Science
Arts,O*NET,"Courses focus on visual and performing arts, such as Arts and Crafts, Music, Painting, Sculpture, Theater, and Voice",0,https://www.onetonline.org/find/result?s=Arts
Physical Education,O*NET,"Courses focus on physical fitness and sports, such as Aerobics, Jogging, Weight Lifting, and Specific Sports",0,https://www.onetonline.org/find/result?s=Physical+Education
Job-Related Professional Certification,O*NET,"Certification: A credential awarded by a certification body based on an individual demonstrating through an examination process that he or she has acquired the designated knowledge, skills, and abilities to perform a specific job.",0,https://www.onetonline.org/find/result?s=Job-Related+Professional+Certification
Experience Requirements,O*NET,Experience Requirements,0,https://www.onetonline.org/find/result?s=Experience+Requirements
Experience and Training,O*NET,"If someone were being hired to perform this job, how much of the following would be required?",0,https://www.onetonline.org/find/result?s=Experience+and+Training
Related Work Experience,O*NET,Amount of related work experience required to get hired for the job?,0,https://www.onetonline.org/find/result?s=Related+Work+Experience
On-Site or In-Plant Training,O*NET,"Amount of on-site or in-plant training (e.g., organized class room instruction) required to perform the job?",0,https://www.onetonline.org/find/result?s=On-Site+or+In-Plant+Training
On-the-Job Training,O*NET,Amount of on the job training required to perform the job?,0,https://www.onetonline.org/find/result?s=On-the-Job+Training
Apprenticeship,O*NET,"Apprenticeship is a combination of on-the-job training and related instruction in which workers learn the practical and theoretical aspects of a highly skilled occupation. Apprenticeship programs can be sponsored by individual employers, joint employer and labor groups, and/or employer associations.",0,https://www.onetonline.org/find/result?s=Apprenticeship
Job-related Apprenticeship,O*NET,Completion of a job-related apprenticeship to perform the job.,0,https://www.onetonline.org/find/result?s=Job-related+Apprenticeship
Basic Skills - Entry Requirement,O*NET,Entry requirement for developed capacities that facilitate learning or the more rapid acquisition of knowledge,0,https://www.onetonline.org/find/result?s=Basic+Skills+-+Entry+Requirement
Content - Entry Requirement,O*NET,Entry requirement for background structures needed to work with and acquire more specific skills in a variety of different domains,0,https://www.onetonline.org/find/result?s=Content+-+Entry+Requirement
Reading Comprehension - Entry Requirement,O*NET,Entry requirement for understanding written sentences and paragraphs in work related documents,0,https://www.onetonline.org/find/result?s=Reading+Comprehension+-+Entry+Requirement
Active Listening - Entry Requirement,O*NET,Entry requirement for listening to what other people are saying and asking questions as appropriate,0,https://www.onetonline.org/find/result?s=Active+Listening+-+Entry+Requirement
Writing - Entry Requirement,O*NET,Entry requirement for communicating effectively with others in writing as indicated by the needs of the audience,0,https://www.onetonline.org/find/result?s=Writing+-+Entry+Requirement
Speaking - Entry Requirement,O*NET,Entry requirement for talking to others to effectively convey information,0,https://www.onetonline.org/find/result?s=Speaking+-+Entry+Requirement
Mathematics - Entry Requirement,O*NET,Entry requirement for using mathematics to solve problems,0,https://www.onetonline.org/find/result?s=Mathematics+-+Entry+Requirement
Science - Entry Requirement,O*NET,Entry requirement for using scientific methods to solve problems,0,https://www.onetonline.org/find/result?s=Science+-+Entry+Requirement
Process - Entry Requirement,O*NET,Entry requirement for procedures that contribute to the more rapid acquisition of knowledge and skill across a variety of domains,0,https://www.onetonline.org/find/result?s=Process+-+Entry+Requirement
Critical Thinking - Entry Requirement,O*NET,Entry requirement for using logic and analysis to identify the strengths and weaknesses in different approaches,0,https://www.onetonline.org/find/result?s=Critical+Thinking+-+Entry+Requirement
Active Learning - Entry Requirement,O*NET,Entry requirement for working with new material or information to grasp its implications,0,https://www.onetonline.org/find/result?s=Active+Learning+-+Entry+Requirement
Learning Strategies - Entry Requirement,O*NET,Entry requirement for using multiple approaches when learning or teaching new things,0,https://www.onetonline.org/find/result?s=Learning+Strategies+-+Entry+Requirement
Monitoring - Entry Requirement,O*NET,Entry requirement for assessing how well one is doing when learning or doing something,0,https://www.onetonline.org/find/result?s=Monitoring+-+Entry+Requirement
Cross-Functional Skills - Entry Requirement,O*NET,Entry requirement for developed capacities that facilitate performance of activities that occur across jobs,0,https://www.onetonline.org/find/result?s=Cross-Functional+Skills+-+Entry+Requirement
Social Skills - Entry Requirement,O*NET,Entry requirement for developed capacities used to work with people to achieve goals,0,https://www.onetonline.org/find/result?s=Social+Skills+-+Entry+Requirement
Social Perceptiveness - Entry Requirement,O*NET,Entry requirement for being aware of others' reactions and understanding why they react the way they do,0,https://www.onetonline.org/find/result?s=Social+Perceptiveness+-+Entry+Requirement
Coordination - Entry Requirement,O*NET,Entry requirement for adjusting actions in relation to others' actions,0,https://www.onetonline.org/find/result?s=Coordination+-+Entry+Requirement
Persuasion - Entry Requirement,O*NET,Entry requirement for persuading others to approach things differently,0,https://www.onetonline.org/find/result?s=Persuasion+-+Entry+Requirement
Negotiation - Entry Requirement,O*NET,Entry requirement for bring others together and trying to reconcile differences,0,https://www.onetonline.org/find/result?s=Negotiation+-+Entry+Requirement
Instructing - Entry Requirement,O*NET,Entry requirement for teaching others how to do something,0,https://www.onetonline.org/find/result?s=Instructing+-+Entry+Requirement
Service Orientation - Entry Requirement,O*NET,Entry requirement for actively looking for ways to help people,0,https://www.onetonline.org/find/result?s=Service+Orientation+-+Entry+Requirement
Complex Problem Solving Skills - Entry Requirement,O*NET,"Entry requirement for developed capacities used to solve novel, ill-defined problems in complex, real-world settings",0,https://www.onetonline.org/find/result?s=Complex+Problem+Solving+Skills+-+Entry+Requirement
Problem Identification - Entry Requirement,O*NET,Entry requirement for identifying the nature of problems,0,https://www.onetonline.org/find/result?s=Problem+Identification+-+Entry+Requirement
Information Gathering - Entry Requirement,O*NET,Entry requirement for knowing how to find information and identifying essential information,0,https://www.onetonline.org/find/result?s=Information+Gathering+-+Entry+Requirement
Information Organization - Entry Requirement,O*NET,Entry requirement for finding ways to structure or classify multiple pieces of information,0,https://www.onetonline.org/find/result?s=Information+Organization+-+Entry+Requirement
Synthesis/Reorganization - Entry Requirement,O*NET,Entry requirement for reorganizing information to get a better approach to problems or tasks,0,https://www.onetonline.org/find/result?s=Synthesis%2FReorganization+-+Entry+Requirement
Idea Generation - Entry Requirement,O*NET,Entry requirement for generating a number of different approaches to problems,0,https://www.onetonline.org/find/result?s=Idea+Generation+-+Entry+Requirement
