Construct_Name,Source,Total_Paper_Count,Concept_Levels,Journal_Count,Journals,Year_Min,Year_Max,Recovered_Level2,Old_Unified_Paper_Count
Occupational burnout,OpenAlex,25,4,6,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1981,2024,False,96
Psychopathy,OpenAlex,25,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1989,2025,False,10
School-to-work transition,OpenAlex,25,3,2,Journal of Vocational Behavior; Personnel Psychology,1981,2025,False,0
Stanford–Binet Intelligence Scales,OpenAlex,25,4,1,Journal of Applied Psychology,1917,1944,False,0
Strategic financial management,OpenAlex,25,3,4,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1976,2022,False,1
Strategic leadership,OpenAlex,25,3,2,Academy of Management Journal; Journal of Management,1965,2022,False,9
Interface (matter),OpenAlex,24,4,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1967,2021,False,0
Metacognition,OpenAlex,24,3,6,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1996,2025,False,9
Odds,OpenAlex,24,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1993,2023,False,6
Protestant work ethic,OpenAlex,24,4,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1975,2008,False,8
Psychomotor learning,OpenAlex,24,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1950,2017,False,2
Shareholder value,OpenAlex,24,4,2,Academy of Management Journal; Journal of Management,1992,2025,False,0
Decision quality,OpenAlex,23,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1972,2025,False,4
Job evaluation,OpenAlex,23,4,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1948,2016,False,5
Work ethic,OpenAlex,23,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1975,2013,False,17
Face validity,OpenAlex,22,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1958,2025,False,0
Individual capital,OpenAlex,22,4,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,2003,2025,False,7
Leisure time,OpenAlex,22,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1937,2025,False,0
Liberal arts education,OpenAlex,22,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior,1924,2018,False,0
Maximum bubble pressure method,OpenAlex,22,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1967,2021,False,8
Protégé,OpenAlex,22,3,5,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1988,2024,False,2
Racial differences,OpenAlex,22,3,4,Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,1923,2023,False,0
Risk perception,OpenAlex,22,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior,1974,2025,False,12
Robustness (evolution),OpenAlex,22,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1992,2025,False,0
Social cognitive theory of morality,OpenAlex,22,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,2006,2024,False,4
Strong ties,OpenAlex,22,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1989,2026,False,0
Uncertainty avoidance,OpenAlex,22,4,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1999,2025,False,4
Worry,OpenAlex,22,3,6,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1945,2023,False,3
Cognitive complexity,OpenAlex,21,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1974,2026,False,1
Norm of reciprocity,OpenAlex,21,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1996,2023,False,13
Presenteeism,OpenAlex,21,3,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2001,2024,False,20
Safety climate,OpenAlex,21,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2000,2023,False,12
Social venture capital,OpenAlex,21,3,2,Academy of Management Journal; Journal of Management,1991,2020,False,0
Wechsler Adult Intelligence Scale,OpenAlex,21,3,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1918,2021,False,1
Change management (ITSM),OpenAlex,20,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,1968,2024,False,0
Critical appraisal,OpenAlex,20,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1975,2026,False,20
Differential item functioning,OpenAlex,20,4,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1980,2018,False,3
Distancing,OpenAlex,20,5,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1984,2026,False,5
Merit pay,OpenAlex,20,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1973,2019,False,2
Organizational field,OpenAlex,20,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2006,2025,False,11
Structural holes,OpenAlex,20,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1991,2026,False,0
Work experience,OpenAlex,20,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1973,2026,False,30
Abusive relationship,OpenAlex,19,5,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2011,2023,False,4
Event study,OpenAlex,19,3,2,Academy of Management Journal; Journal of Management,1987,2024,False,0
Financial capital,OpenAlex,19,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1989,2021,False,4
Nationality,OpenAlex,19,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1920,2023,False,4
Reading comprehension,OpenAlex,19,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Personnel Psychology,1930,2026,False,3
Thematic analysis,OpenAlex,19,3,7,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1998,2026,False,0
Adjective check list,OpenAlex,18,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1957,2002,False,1
Alpha (finance),OpenAlex,18,4,2,Journal of Applied Psychology; Personnel Psychology,1920,2020,False,0
Avoidance coping,OpenAlex,18,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1984,2026,False,2
Collective identity,OpenAlex,18,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,2000,2025,False,5
Free recall,OpenAlex,18,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,1987,2022,False,0
Personality development,OpenAlex,18,3,6,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1971,2026,False,4
Priming (agriculture),OpenAlex,18,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1984,2022,False,0
Service provider,OpenAlex,18,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1996,2026,False,9
Stock market,OpenAlex,18,3,3,Academy of Management Journal; Journal of Management; Personnel Psychology,1978,2020,False,0
Strategic control,OpenAlex,18,4,2,Academy of Management Journal; Journal of Management,1976,2025,False,0
Asian americans,OpenAlex,17,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1994,2023,False,4
Civil service,OpenAlex,17,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1917,2026,False,8
Cognitive bias,OpenAlex,17,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1986,2026,False,27
Cognitive interview,OpenAlex,17,3,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Personnel Psychology,1985,2015,False,5
Entrepreneurial orientation,OpenAlex,17,3,5,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1999,2023,False,0
Personality theory,OpenAlex,17,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1935,2005,False,8
Semi-structured interview,OpenAlex,17,3,5,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1967,2016,False,2
Sexual identity,OpenAlex,17,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1996,2026,False,1
Source credibility,OpenAlex,17,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Personnel Psychology,1976,2008,False,1
Trait theory,OpenAlex,17,4,6,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1992,2026,False,7
Acquiescence,OpenAlex,16,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1964,2023,False,9
Customer retention,OpenAlex,16,4,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1995,2023,False,1
Implicit personality theory,OpenAlex,16,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1981,2026,False,3
Individualistic culture,OpenAlex,16,4,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,2002,2023,False,2
Operator (biology),OpenAlex,16,5,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1954,2025,False,0
Organizational safety,OpenAlex,16,5,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1978,2024,False,34
Transcription factor,OpenAlex,16,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1954,2016,False,3
Acculturation,OpenAlex,15,3,7,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1994,2022,False,0
Conflict resolution research,OpenAlex,15,3,3,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1995,2024,False,0
Face perception,OpenAlex,15,3,2,Applied Psychology: An International Review; Journal of Applied Psychology,1974,2026,False,1
Phenotype,OpenAlex,15,3,6,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1977,2023,False,0
Qualitative analysis,OpenAlex,15,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1942,2026,False,0
Raw score,OpenAlex,15,3,4,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1957,2017,False,0
Repressor,OpenAlex,15,4,4,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1954,2013,False,3
Sleep deprivation,OpenAlex,15,3,3,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology,1957,2025,False,3
Strategic thinking,OpenAlex,15,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Personnel Psychology,1979,2025,False,2
Task analysis,OpenAlex,15,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Personnel Psychology,1944,2026,False,0
Through-the-lens metering,OpenAlex,15,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,2001,2026,False,5
Univariate,OpenAlex,15,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1978,2024,False,2
Collective action,OpenAlex,14,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1986,2024,False,3
Complement (music),OpenAlex,14,5,6,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1977,2023,False,0
Complementation,OpenAlex,14,4,6,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1977,2023,False,0
Deci-,OpenAlex,14,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1980,2025,False,12
Family-friendly,OpenAlex,14,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1995,2025,False,5
Institutional investor,OpenAlex,14,3,2,Academy of Management Journal; Journal of Management,2001,2025,False,2
Investment decisions,OpenAlex,14,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1978,2025,False,3
Latent variable model,OpenAlex,14,3,3,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1986,2026,False,0
Legitimation,OpenAlex,14,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2002,2024,False,0
Normative model of decision-making,OpenAlex,14,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1955,2025,False,0
Part-time employment,OpenAlex,14,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1975,2017,False,1
Physical health,OpenAlex,14,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1992,2024,False,0
Stakeholder management,OpenAlex,14,3,2,Academy of Management Journal; Journal of Management,1999,2026,False,0
Strategic alliance,OpenAlex,14,3,2,Academy of Management Journal; Journal of Management,1993,2026,False,0
Subject matter,OpenAlex,14,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,1924,2006,False,3
Subjective well-being,OpenAlex,14,3,3,Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior,1984,2026,False,19
Business education,OpenAlex,13,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1924,1990,False,0
Citation analysis,OpenAlex,13,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1974,2018,False,0
Context effect,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1993,2026,False,7
Control theory (sociology),OpenAlex,13,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1956,2025,False,0
Creativity technique,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1963,2026,False,0
Cross-cultural leadership,OpenAlex,13,5,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,2000,2026,False,3
Dark triad,OpenAlex,13,4,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,2011,2025,False,14
Equal employment opportunity,OpenAlex,13,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1966,2026,False,2
Guanxi,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1996,2026,False,3
Human capital theory,OpenAlex,13,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1995,2018,False,2
Human resource management system,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,1972,2026,False,0
Isomorphism (crystallography),OpenAlex,13,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1991,2018,False,0
Mainland China,OpenAlex,13,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1993,2024,False,9
Mental hygiene,OpenAlex,13,3,1,Journal of Applied Psychology,1917,1951,False,0
Opinion survey,OpenAlex,13,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1946,2000,False,0
Overweight,OpenAlex,13,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior,1992,2023,False,1
Perspective-taking,OpenAlex,13,3,6,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2008,2026,False,9
Protocol (science),OpenAlex,13,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1983,2025,False,0
Social competence,OpenAlex,13,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1941,2025,False,1
Team Role Inventories,OpenAlex,13,3,5,Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1993,2026,False,9
Temporary work,OpenAlex,13,3,7,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1992,2026,False,11
Time perception,OpenAlex,13,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,1924,2024,False,1
Working memory,OpenAlex,13,3,3,Applied Psychology: An International Review; Journal of Applied Psychology; Personnel Psychology,1924,2020,False,4
16PF Questionnaire,OpenAlex,12,5,3,Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1972,2013,False,8
Achievement test,OpenAlex,12,3,2,Journal of Applied Psychology; Personnel Psychology,1923,1957,False,1
Aging in the American workforce,OpenAlex,12,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1995,2024,False,14
Androgyny,OpenAlex,12,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1977,1997,False,1
Consulting psychology,OpenAlex,12,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1930,2011,False,0
Dissent,OpenAlex,12,3,3,Academy of Management Journal; Journal of Applied Psychology; Personnel Psychology,1981,2019,False,3
Economic shortage,OpenAlex,12,3,5,Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1974,2025,False,8
Framing effect,OpenAlex,12,3,4,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management,1984,2026,False,2
Job training,OpenAlex,12,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1958,2025,False,2
Management information systems,OpenAlex,12,3,2,Academy of Management Journal; Journal of Management,1962,2006,False,0
Meta-regression,OpenAlex,12,3,3,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior,1987,2022,False,1
Operant conditioning,OpenAlex,12,3,2,Journal of Applied Psychology; Journal of Management,1972,1989,False,1
Organizational behavior management,OpenAlex,12,4,4,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior; Personnel Psychology,1978,2024,False,0
Placebo,OpenAlex,12,3,2,Journal of Applied Psychology; Journal of Vocational Behavior,1974,2010,False,0
Presidential system,OpenAlex,12,3,5,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Personnel Psychology,1946,2024,False,0
Sexual minority,OpenAlex,12,3,3,Journal of Applied Psychology; Journal of Management; Journal of Vocational Behavior,1996,2025,False,3
Sleep quality,OpenAlex,12,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1942,2024,False,0
Adjective,OpenAlex,11,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1957,1983,False,0
Alcohol consumption,OpenAlex,11,3,3,Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1988,2020,False,1
Authoritarian leadership style,OpenAlex,11,5,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,2007,2026,False,4
Census,OpenAlex,11,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1937,2016,False,2
Citation impact,OpenAlex,11,3,3,Academy of Management Journal; Journal of Organizational Behavior; Personnel Psychology,1953,2010,False,2
Civic virtue,OpenAlex,11,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior,1995,2017,False,2
Computer-mediated communication,OpenAlex,11,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Vocational Behavior; Personnel Psychology,1988,2026,False,0
Corporate venture capital,OpenAlex,11,3,2,Academy of Management Journal; Journal of Management,2006,2024,False,0
Cost leadership,OpenAlex,11,3,2,Academy of Management Journal; Journal of Management,1990,2024,False,0
Creative problem-solving,OpenAlex,11,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology,1959,2026,False,0
Diversity training,OpenAlex,11,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,1995,2022,False,11
Economic capital,OpenAlex,11,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Management,1987,2019,False,4
Egalitarianism,OpenAlex,11,3,5,Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1985,2023,False,4
Heart rate,OpenAlex,11,3,2,Journal of Applied Psychology; Journal of Organizational Behavior,1926,2019,False,0
Hypnosis,OpenAlex,11,3,1,Journal of Applied Psychology,1938,1989,False,2
Internalization,OpenAlex,11,3,6,Academy of Management Journal; Applied Psychology: An International Review; Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior,1961,2025,False,0
Knowledge value chain,OpenAlex,11,3,3,Academy of Management Journal; Journal of Management; Journal of Organizational Behavior,2003,2026,False,2
Need for cognition,OpenAlex,11,3,6,Academy of Management Journal; Journal of Applied Psychology; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2000,2026,False,4
Product market,OpenAlex,11,3,3,Academy of Management Journal; Journal of Management; Personnel Psychology,1961,2025,False,0
Quality of working life,OpenAlex,11,3,4,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior,1977,2026,False,13
Reputation management,OpenAlex,11,3,4,Academy of Management Journal; Journal of Management; Journal of Vocational Behavior; Personnel Psychology,1990,2026,False,3
Retirement age,OpenAlex,11,3,3,Academy of Management Journal; Journal of Applied Psychology; Journal of Vocational Behavior,1976,2022,False,0
Service delivery framework,OpenAlex,11,3,5,Academy of Management Journal; Journal of Applied Psychology; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1990,2015,False,0
Service personnel,OpenAlex,11,3,2,Academy of Management Journal; Journal of Applied Psychology,1917,2009,False,1
Stakeholder analysis,OpenAlex,11,3,2,Academy of Management Journal; Journal of Management,1999,2026,False,0
Subgroup analysis,OpenAlex,11,3,3,Journal of Applied Psychology; Journal of Vocational Behavior; Personnel Psychology,1996,2023,False,0
Total quality management,OpenAlex,11,3,4,Academy of Management Journal; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1994,2009,False,3
Willingness to accept,OpenAlex,11,3,5,Journal of Applied Psychology; Journal of Management; Journal of Organizational Behavior; Journal of Vocational Behavior; Personnel Psychology,1988,2009,False,0
Auditory perception,OpenAlex,10,3,1,Journal of Applied Psychology,1940,1980,False,0
Bem Sex-Role Inventory,OpenAlex,10,3,1,Journal of Vocational Behavior,1978,1998,False,0
Breach of contract,OpenAlex,10,3,5,Academy of Management Journal; Journal of Management; Journal of Occupational and Organizational Psychology; Journal of Organizational Behavior; Personnel Psychology,2000,2022,False,0
