Construct_Name,Source,Journal,Year,Concept_Level,Paper_Count,Journal_Tier,Is_Noise,Noise_Reasons
Validation test,OpenAlex,Journal of Applied Psychology,1966,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1977,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1979,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1980,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1984,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1989,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1998,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Applied Psychology,1999,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Journal of Occupational and Organizational Psychology,2002,4,2,Tier_1_Core_IO,False,
Validation test,OpenAlex,Personnel Psychology,1982,4,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Academy of Management Journal,1990,3,2,Tier_2_Broad_Adjacent,False,
Validity,OpenAlex,Journal of Applied Psychology,1954,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,1975,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,1978,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,1980,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,1981,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,1982,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,1987,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,1998,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,2021,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Applied Psychology,2024,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Occupational and Organizational Psychology,2023,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Journal of Vocational Behavior,2005,3,2,Tier_2_Broad_Adjacent,False,
Validity,OpenAlex,Personnel Psychology,1983,3,2,Tier_1_Core_IO,False,
Validity,OpenAlex,Personnel Psychology,1984,3,2,Tier_1_Core_IO,False,
Verbal memory,OpenAlex,Journal of Applied Psychology,1983,3,2,Tier_1_Core_IO,False,
Verbal reasoning,OpenAlex,Journal of Applied Psychology,1985,3,2,Tier_1_Core_IO,False,
Verifiable secret sharing,OpenAlex,Journal of Applied Psychology,1975,3,2,Tier_1_Core_IO,False,
Virtual community,OpenAlex,Journal of Management,2001,3,2,Tier_2_Broad_Adjacent,False,
Virtual organization,OpenAlex,Journal of Management,2001,3,2,Tier_2_Broad_Adjacent,False,
Vocabulary learning,OpenAlex,Journal of Applied Psychology,1980,3,2,Tier_1_Core_IO,False,
Vocational rehabilitation,OpenAlex,Journal of Vocational Behavior,1974,3,2,Tier_2_Broad_Adjacent,False,
Vocational school,OpenAlex,Journal of Vocational Behavior,1973,3,2,Tier_2_Broad_Adjacent,False,
Vocational school,OpenAlex,Journal of Vocational Behavior,1977,3,2,Tier_2_Broad_Adjacent,False,
Voting,OpenAlex,Academy of Management Journal,1989,3,2,Tier_2_Broad_Adjacent,False,
Voting,OpenAlex,Journal of Applied Psychology,1978,3,2,Tier_1_Core_IO,False,
Voting,OpenAlex,Journal of Applied Psychology,1981,3,2,Tier_1_Core_IO,False,
Voting,OpenAlex,Journal of Applied Psychology,1987,3,2,Tier_1_Core_IO,False,
Voting,OpenAlex,Journal of Applied Psychology,1996,3,2,Tier_1_Core_IO,False,
Voting,OpenAlex,Journal of Management,1993,3,2,Tier_2_Broad_Adjacent,False,
Voting behavior,OpenAlex,Academy of Management Journal,1984,4,2,Tier_2_Broad_Adjacent,False,
Voting behavior,OpenAlex,Journal of Management,1993,4,2,Tier_2_Broad_Adjacent,False,
Wechsler Adult Intelligence Scale,OpenAlex,Applied Psychology: An International Review,2016,3,2,Tier_2_Broad_Adjacent,False,
Wechsler Adult Intelligence Scale,OpenAlex,Applied Psychology: An International Review,2021,3,2,Tier_2_Broad_Adjacent,False,
Wechsler Adult Intelligence Scale,OpenAlex,Journal of Applied Psychology,1946,3,2,Tier_1_Core_IO,False,
Wechsler Adult Intelligence Scale,OpenAlex,Journal of Applied Psychology,1977,3,2,Tier_1_Core_IO,False,
Wechsler Intelligence Scale for Children,OpenAlex,Applied Psychology: An International Review,2016,4,2,Tier_2_Broad_Adjacent,False,
Wechsler Intelligence Scale for Children,OpenAlex,Journal of Applied Psychology,1946,4,2,Tier_1_Core_IO,False,
Weight stigma,OpenAlex,Applied Psychology: An International Review,2017,4,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Academy of Management Journal,1973,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Academy of Management Journal,1974,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Academy of Management Journal,1978,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1931,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1933,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1972,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1973,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1978,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1979,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1980,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,1993,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Applied Psychology,2006,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Management,2002,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Organizational Behavior,1981,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Organizational Behavior,1990,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Organizational Behavior,2007,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1972,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1973,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1974,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1976,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1980,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1983,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1986,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1988,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,1998,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Journal of Vocational Behavior,2009,3,2,Tier_2_Broad_Adjacent,False,
White (mutation),OpenAlex,Personnel Psychology,1972,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Personnel Psychology,1976,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Personnel Psychology,1982,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Personnel Psychology,2007,3,2,Tier_1_Core_IO,False,
White (mutation),OpenAlex,Personnel Psychology,2025,3,2,Tier_1_Core_IO,False,
Willingness to accept,OpenAlex,Journal of Management,1999,3,2,Tier_2_Broad_Adjacent,False,
Willingness to accept,OpenAlex,Journal of Organizational Behavior,1993,3,2,Tier_1_Core_IO,False,
Work behavior,OpenAlex,Academy of Management Journal,2007,3,2,Tier_2_Broad_Adjacent,False,
Work behavior,OpenAlex,Journal of Applied Psychology,1979,3,2,Tier_1_Core_IO,False,
Work behavior,OpenAlex,Journal of Applied Psychology,2009,3,2,Tier_1_Core_IO,False,
Work behavior,OpenAlex,Journal of Applied Psychology,2025,3,2,Tier_1_Core_IO,False,
Work behavior,OpenAlex,Journal of Occupational and Organizational Psychology,2025,3,2,Tier_1_Core_IO,False,
Work behavior,OpenAlex,Journal of Organizational Behavior,2009,3,2,Tier_1_Core_IO,False,
Work behavior,OpenAlex,Journal of Vocational Behavior,2015,3,2,Tier_2_Broad_Adjacent,False,
Work behavior,OpenAlex,Journal of Vocational Behavior,2018,3,2,Tier_2_Broad_Adjacent,False,
Work behavior,OpenAlex,Journal of Vocational Behavior,2024,3,2,Tier_2_Broad_Adjacent,False,
Work engagement,OpenAlex,Academy of Management Journal,1990,3,2,Tier_2_Broad_Adjacent,False,
Work engagement,OpenAlex,Academy of Management Journal,2020,3,2,Tier_2_Broad_Adjacent,False,
Work engagement,OpenAlex,Applied Psychology: An International Review,2014,3,2,Tier_2_Broad_Adjacent,False,
Work engagement,OpenAlex,Journal of Applied Psychology,2016,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Applied Psychology,2017,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Occupational and Organizational Psychology,2019,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Organizational Behavior,2008,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Organizational Behavior,2010,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Organizational Behavior,2013,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Organizational Behavior,2020,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Organizational Behavior,2025,3,2,Tier_1_Core_IO,False,
Work engagement,OpenAlex,Journal of Vocational Behavior,2023,3,2,Tier_2_Broad_Adjacent,False,
Work engagement,OpenAlex,Journal of Vocational Behavior,2025,3,2,Tier_2_Broad_Adjacent,False,
Work engagement,OpenAlex,Personnel Psychology,2022,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Academy of Management Journal,1979,3,2,Tier_2_Broad_Adjacent,False,
Work environment,OpenAlex,Academy of Management Journal,1995,3,2,Tier_2_Broad_Adjacent,False,
Work environment,OpenAlex,Academy of Management Journal,1996,3,2,Tier_2_Broad_Adjacent,False,
Work environment,OpenAlex,Academy of Management Journal,1999,3,2,Tier_2_Broad_Adjacent,False,
Work environment,OpenAlex,Academy of Management Journal,2002,3,2,Tier_2_Broad_Adjacent,False,
Work environment,OpenAlex,Journal of Applied Psychology,1961,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Applied Psychology,1966,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Applied Psychology,1979,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Applied Psychology,1985,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Applied Psychology,1989,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Applied Psychology,1995,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Applied Psychology,2026,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Occupational and Organizational Psychology,1994,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Occupational and Organizational Psychology,2024,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Occupational and Organizational Psychology,2026,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Organizational Behavior,1987,3,2,Tier_1_Core_IO,False,
Work environment,OpenAlex,Journal of Vocational Behavior,1987,3,2,Tier_2_Broad_Adjacent,False,
Work environment,OpenAlex,Journal of Vocational Behavior,2008,3,2,Tier_2_Broad_Adjacent,False,
Work environment,OpenAlex,Journal of Vocational Behavior,2025,3,2,Tier_2_Broad_Adjacent,False,
Work ethic,OpenAlex,Journal of Applied Psychology,1977,3,2,Tier_1_Core_IO,False,
Work ethic,OpenAlex,Journal of Applied Psychology,1978,3,2,Tier_1_Core_IO,False,
Work experience,OpenAlex,Journal of Applied Psychology,1985,3,2,Tier_1_Core_IO,False,
Work force,OpenAlex,Journal of Applied Psychology,1979,3,2,Tier_1_Core_IO,False,
Work hours,OpenAlex,Journal of Applied Psychology,2003,3,2,Tier_1_Core_IO,False,
Work hours,OpenAlex,Journal of Vocational Behavior,2011,3,2,Tier_2_Broad_Adjacent,False,
Work motivation,OpenAlex,Academy of Management Journal,1975,3,2,Tier_2_Broad_Adjacent,False,
Work motivation,OpenAlex,Academy of Management Journal,1980,3,2,Tier_2_Broad_Adjacent,False,
Work motivation,OpenAlex,Academy of Management Journal,1981,3,2,Tier_2_Broad_Adjacent,False,
Work motivation,OpenAlex,Journal of Applied Psychology,1969,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Applied Psychology,1970,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Applied Psychology,1975,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Applied Psychology,1976,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Applied Psychology,2017,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Occupational and Organizational Psychology,2026,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Organizational Behavior,1999,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Organizational Behavior,2003,3,2,Tier_1_Core_IO,False,
Work motivation,OpenAlex,Journal of Vocational Behavior,2009,3,2,Tier_2_Broad_Adjacent,False,
Work motivation,OpenAlex,Journal of Vocational Behavior,2012,3,2,Tier_2_Broad_Adjacent,False,
Work motivation,OpenAlex,Journal of Vocational Behavior,2014,3,2,Tier_2_Broad_Adjacent,False,
Work motivation,OpenAlex,Journal of Vocational Behavior,2017,3,2,Tier_2_Broad_Adjacent,False,
Work productivity,OpenAlex,Journal of Applied Psychology,1976,3,2,Tier_1_Core_IO,False,
Work productivity,OpenAlex,Journal of Applied Psychology,1990,3,2,Tier_1_Core_IO,False,
Work schedule,OpenAlex,Journal of Vocational Behavior,2000,3,2,Tier_2_Broad_Adjacent,False,
Work stress,OpenAlex,Academy of Management Journal,1987,3,2,Tier_2_Broad_Adjacent,False,
Work stress,OpenAlex,Academy of Management Journal,1990,3,2,Tier_2_Broad_Adjacent,False,
Work stress,OpenAlex,Journal of Applied Psychology,1978,3,2,Tier_1_Core_IO,False,
Work stress,OpenAlex,Journal of Applied Psychology,1980,3,2,Tier_1_Core_IO,False,
Work stress,OpenAlex,Journal of Applied Psychology,1986,3,2,Tier_1_Core_IO,False,
Work stress,OpenAlex,Journal of Applied Psychology,1992,3,2,Tier_1_Core_IO,False,
Work systems,OpenAlex,Journal of Applied Psychology,2011,3,2,Tier_1_Core_IO,False,
Work systems,OpenAlex,Journal of Management,2002,3,2,Tier_2_Broad_Adjacent,False,
Work systems,OpenAlex,Journal of Management,2016,3,2,Tier_2_Broad_Adjacent,False,
Work systems,OpenAlex,Journal of Organizational Behavior,2016,3,2,Tier_1_Core_IO,False,
Workforce diversity,OpenAlex,Journal of Management,2000,3,2,Tier_2_Broad_Adjacent,False,
Workforce diversity,OpenAlex,Journal of Management,2001,3,2,Tier_2_Broad_Adjacent,False,
Working class,OpenAlex,Journal of Applied Psychology,2025,3,2,Tier_1_Core_IO,False,
Working memory,OpenAlex,Journal of Applied Psychology,1980,3,2,Tier_1_Core_IO,False,
Working memory,OpenAlex,Journal of Applied Psychology,2002,3,2,Tier_1_Core_IO,False,
Workplace safety,OpenAlex,Journal of Applied Psychology,2025,3,2,Tier_1_Core_IO,False,
Workplace violence,OpenAlex,Journal of Applied Psychology,2002,4,2,Tier_1_Core_IO,False,
Workspace,OpenAlex,Journal of Applied Psychology,1987,3,2,Tier_1_Core_IO,False,
Workspace,OpenAlex,Journal of Applied Psychology,1988,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Academy of Management Journal,1994,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Academy of Management Journal,2000,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Academy of Management Journal,2002,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Academy of Management Journal,2003,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Applied Psychology,1992,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Applied Psychology,1995,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Applied Psychology,2005,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Applied Psychology,2012,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Applied Psychology,2013,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Applied Psychology,2017,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Management,1997,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Management,2000,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Management,2001,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Management,2002,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Management,2010,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Occupational and Organizational Psychology,2009,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Occupational and Organizational Psychology,2010,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Occupational and Organizational Psychology,2014,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Organizational Behavior,2016,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Organizational Behavior,2019,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Organizational Behavior,2023,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,1989,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,2001,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,2004,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,2014,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,2015,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,2016,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,2017,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Journal of Vocational Behavior,2024,3,2,Tier_2_Broad_Adjacent,False,
Work–family conflict,OpenAlex,Personnel Psychology,2011,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Personnel Psychology,2012,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Personnel Psychology,2014,3,2,Tier_1_Core_IO,False,
Work–family conflict,OpenAlex,Personnel Psychology,2015,3,2,Tier_1_Core_IO,False,
Work–life balance,OpenAlex,Journal of Management,2023,3,2,Tier_2_Broad_Adjacent,False,
Work–life balance,OpenAlex,Journal of Organizational Behavior,2009,3,2,Tier_1_Core_IO,False,
Work–life balance,OpenAlex,Journal of Organizational Behavior,2018,3,2,Tier_1_Core_IO,False,
Work–life balance,OpenAlex,Journal of Vocational Behavior,2003,3,2,Tier_2_Broad_Adjacent,False,
Work–life balance,OpenAlex,Journal of Vocational Behavior,2011,3,2,Tier_2_Broad_Adjacent,False,
Work–life balance,OpenAlex,Journal of Vocational Behavior,2021,3,2,Tier_2_Broad_Adjacent,False,
Worry,OpenAlex,Journal of Applied Psychology,1989,3,2,Tier_1_Core_IO,False,
16PF Questionnaire,OpenAlex,Journal of Occupational and Organizational Psychology,1992,5,1,Tier_1_Core_IO,False,
16PF Questionnaire,OpenAlex,Journal of Occupational and Organizational Psychology,1995,5,1,Tier_1_Core_IO,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,1972,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,1976,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,1977,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,1983,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,1985,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,1993,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,1995,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,2009,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Journal of Vocational Behavior,2013,5,1,Tier_2_Broad_Adjacent,False,
16PF Questionnaire,OpenAlex,Personnel Psychology,2005,5,1,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Academy of Management Journal,2022,3,1,Tier_2_Broad_Adjacent,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Applied Psychology,2022,3,1,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Management,2020,3,1,Tier_2_Broad_Adjacent,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Management,2021,3,1,Tier_2_Broad_Adjacent,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Management,2023,3,1,Tier_2_Broad_Adjacent,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Occupational and Organizational Psychology,2021,3,1,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Occupational and Organizational Psychology,2022,3,1,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Occupational and Organizational Psychology,2023,3,1,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Journal of Organizational Behavior,2020,3,1,Tier_1_Core_IO,False,
2019-20 coronavirus outbreak,OpenAlex,Personnel Psychology,2024,3,1,Tier_1_Core_IO,False,
Abortion,OpenAlex,Journal of Organizational Behavior,2025,3,1,Tier_1_Core_IO,False,
Abortion law,OpenAlex,Journal of Applied Psychology,2025,5,1,Tier_1_Core_IO,False,
Abstract reasoning,OpenAlex,Journal of Applied Psychology,1985,3,1,Tier_1_Core_IO,False,
Abstract reasoning,OpenAlex,Journal of Applied Psychology,2001,3,1,Tier_1_Core_IO,False,
Abuse of power,OpenAlex,Academy of Management Journal,2012,3,1,Tier_2_Broad_Adjacent,False,
Abuse of power,OpenAlex,Journal of Management,1991,3,1,Tier_2_Broad_Adjacent,False,
Abuse of power,OpenAlex,Journal of Organizational Behavior,2024,3,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Academy of Management Journal,2017,5,1,Tier_2_Broad_Adjacent,False,
Abusive relationship,OpenAlex,Journal of Applied Psychology,2011,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Applied Psychology,2013,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Applied Psychology,2014,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Applied Psychology,2015,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Applied Psychology,2023,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Management,2022,5,1,Tier_2_Broad_Adjacent,False,
Abusive relationship,OpenAlex,Journal of Occupational and Organizational Psychology,2014,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Occupational and Organizational Psychology,2020,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Occupational and Organizational Psychology,2023,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Journal of Organizational Behavior,2012,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Personnel Psychology,2018,5,1,Tier_1_Core_IO,False,
Abusive relationship,OpenAlex,Personnel Psychology,2020,5,1,Tier_1_Core_IO,False,
Academic advising,OpenAlex,Journal of Applied Psychology,1969,3,1,Tier_1_Core_IO,False,
Academic advising,OpenAlex,Journal of Applied Psychology,2025,3,1,Tier_1_Core_IO,False,
Academic advising,OpenAlex,Journal of Vocational Behavior,1982,3,1,Tier_2_Broad_Adjacent,False,
Academic advising,OpenAlex,Journal of Vocational Behavior,2024,3,1,Tier_2_Broad_Adjacent,False,
Academic freedom,OpenAlex,Journal of Applied Psychology,1954,3,1,Tier_1_Core_IO,False,
Acceptance and commitment therapy,OpenAlex,Academy of Management Journal,1993,3,1,Tier_2_Broad_Adjacent,False,
Acceptance and commitment therapy,OpenAlex,Applied Psychology: An International Review,2009,3,1,Tier_2_Broad_Adjacent,False,
Acceptance and commitment therapy,OpenAlex,Journal of Applied Psychology,1993,3,1,Tier_1_Core_IO,False,
Acceptance and commitment therapy,OpenAlex,Journal of Applied Psychology,2008,3,1,Tier_1_Core_IO,False,
Acceptance and commitment therapy,OpenAlex,Journal of Applied Psychology,2017,3,1,Tier_1_Core_IO,False,
Acceptance and commitment therapy,OpenAlex,Journal of Occupational and Organizational Psychology,2013,3,1,Tier_1_Core_IO,False,
Acceptance and commitment therapy,OpenAlex,Journal of Vocational Behavior,2010,3,1,Tier_2_Broad_Adjacent,False,
Acceptance and commitment therapy,OpenAlex,Journal of Vocational Behavior,2021,3,1,Tier_2_Broad_Adjacent,False,
Access to information,OpenAlex,Academy of Management Journal,2026,3,1,Tier_2_Broad_Adjacent,False,
Accrual,OpenAlex,Academy of Management Journal,2014,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Academy of Management Journal,2022,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Applied Psychology: An International Review,2012,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Journal of Applied Psychology,2016,3,1,Tier_1_Core_IO,False,
Acculturation,OpenAlex,Journal of Applied Psychology,2017,3,1,Tier_1_Core_IO,False,
Acculturation,OpenAlex,Journal of Management,2012,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Journal of Management,2019,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Journal of Occupational and Organizational Psychology,2013,3,1,Tier_1_Core_IO,False,
Acculturation,OpenAlex,Journal of Vocational Behavior,1994,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Journal of Vocational Behavior,1999,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Journal of Vocational Behavior,2001,3,1,Tier_2_Broad_Adjacent,False,
Acculturation,OpenAlex,Journal of Vocational Behavior,2003,3,1,Tier_2_Broad_Adjacent,False,
Achievement test,OpenAlex,Journal of Applied Psychology,1923,3,1,Tier_1_Core_IO,False,
Achievement test,OpenAlex,Journal of Applied Psychology,1930,3,1,Tier_1_Core_IO,False,
Achievement test,OpenAlex,Journal of Applied Psychology,1934,3,1,Tier_1_Core_IO,False,
Achievement test,OpenAlex,Journal of Applied Psychology,1935,3,1,Tier_1_Core_IO,False,
Achievement test,OpenAlex,Journal of Applied Psychology,1937,3,1,Tier_1_Core_IO,False,
